position,velocity,dt
0.000005,0.000999,10
0.000005,0,10
0.000037,0.003223,10
0.000117,0.007994,10
0.000242,0.01249,10
0.000422,0.017986,10
0.000667,0.024481,10
0.000986,0.031975,10
0.001391,0.040468,10
0.001891,0.049961,10
0.002495,0.060453,10
0.003215,0.071944,10
0.004059,0.084434,10
0.005038,0.097924,10
0.006162,0.112412,10
0.007441,0.1279,10
0.008885,0.144387,10
0.010504,0.161874,10
0.012308,0.180359,10
0.014306,0.199844,10
0.016509,0.220328,10
0.018927,0.241811,10
0.02157,0.264294,10
0.024448,0.287775,10
0.027571,0.312256,10
0.030948,0.337736,10
0.03459,0.364216,10
0.038507,0.391694,10
0.042709,0.420172,10
0.047205,0.449649,10
0.052007,0.480125,10
0.057123,0.5116,10
0.062563,0.544075,10
0.068339,0.577549,10
0.074459,0.612022,10
0.080934,0.647494,10
0.087774,0.683966,10
0.094988,0.721437,10
0.102587,0.759906,10
0.110581,0.799376,10
0.118979,0.839844,10
0.127792,0.881312,10
0.13703,0.923778,10
0.146703,0.967245,10
0.15682,1.01171,10
0.167392,1.057174,10
0.178428,1.103638,10
0.189939,1.151101,10
0.201935,1.199563,10
0.214425,1.249024,10
0.22742,1.299485,10
0.240929,1.350945,10
0.254963,1.403404,10
0.269532,1.456862,10
0.284645,1.51132,10
0.300313,1.566776,10
0.316545,1.623232,10
0.333352,1.680687,10
0.350743,1.739142,10
0.368729,1.798595,10
0.38732,1.859048,10
0.406525,1.9205,10
0.426344,1.981952,10
0.446768,2.042405,10
0.467787,2.101858,10
0.48939,2.160313,10
0.511568,2.217768,10
0.53431,2.274224,10
0.557607,2.32968,10
0.581448,2.384138,10
0.605824,2.437596,10
0.630725,2.490055,10
0.65614,2.541515,10
0.68206,2.591976,10
0.708474,2.641437,10
0.735373,2.689899,10
0.762747,2.737362,10
0.790585,2.783826,10
0.818878,2.82929,10
0.847615,2.873755,10
0.876787,2.917222,10
0.906384,2.959688,10
0.936396,3.001156,10
0.966812,3.041624,10
0.997623,3.081094,10
1.028819,3.119563,10
1.060389,3.157034,10
1.092324,3.193506,10
1.124614,3.228978,10
1.157248,3.263451,10
1.190218,3.296925,10
1.223512,3.3294,10
1.25712,3.360875,10
1.291034,3.391351,10
1.325242,3.420828,10
1.359735,3.449306,10
1.394503,3.476784,10
1.429536,3.503264,10
1.464823,3.528744,10
1.500355,3.553225,10
1.536122,3.576706,10
1.572114,3.599189,10
1.608321,3.620672,10
1.644733,3.641156,10
1.681339,3.660641,10
1.71813,3.679126,10
1.755096,3.696613,10
1.792227,3.7131,10
1.829513,3.728588,10
1.866944,3.743076,10
1.90451,3.756566,10
1.9422,3.769056,10
1.980006,3.780547,10
2.017916,3.791039,10
2.055921,3.800532,10
2.094012,3.809025,10
2.132177,3.816519,10
2.170407,3.823014,10
2.208692,3.82851,10
