dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.499024,4.300004,0.004801,0.960250,96.025000,9602.500000,0.002234
0.010000,0.511238,4.300073,0.017015,1.221414,26.116353,-6990.864713,0.009076
0.010000,0.531535,4.300375,0.037315,2.029953,80.853992,5473.763959,0.020659
0.010000,0.559822,4.301193,0.065613,2.829819,79.986535,-86.745762,0.037254
0.010000,0.591953,4.302703,0.097780,3.216696,38.687741,-4129.879341,0.056762
0.010000,0.623863,4.304836,0.129762,3.198147,-1.854912,-4054.265346,0.076849
0.010000,0.655540,4.307602,0.161558,3.179685,-1.846242,0.867025,0.097513
0.010000,0.686970,4.311012,0.193173,3.161434,-1.825105,2.113723,0.118748
0.010000,0.718141,4.315075,0.224608,3.143532,-1.790136,3.496885,0.140542
0.010000,0.749044,4.319798,0.255869,3.126132,-1.740053,5.008295,0.162880
0.010000,0.779667,4.325188,0.286963,3.109395,-1.673715,6.633745,0.185740
0.010000,0.810001,4.331255,0.317898,3.093493,-1.590184,8.353100,0.209098
0.010000,0.840039,4.338002,0.348684,3.078605,-1.488798,10.138632,0.232920
0.010000,0.869773,4.345436,0.379333,3.064912,-1.369237,11.956055,0.257171
0.010000,0.899197,4.353562,0.409859,3.052597,-1.231586,13.765136,0.281806
0.010000,0.928308,4.362384,0.440278,3.041833,-1.076378,15.520840,0.306777
0.010000,0.957102,4.371907,0.470606,3.032786,-0.904644,17.173386,0.332031
0.010000,0.985578,4.382132,0.500862,3.025607,-0.717912,18.673220,0.357510
0.010000,1.013735,4.393063,0.531066,3.020425,-0.518203,19.970821,0.383150
0.010000,1.041573,4.404702,0.561239,3.017345,-0.307989,21.021400,0.408887
0.010000,1.069094,4.417051,0.591404,3.016444,-0.090121,21.786870,0.434652
0.010000,1.096300,4.430110,0.621581,3.017767,0.132262,22.238258,0.460375
0.010000,1.123193,4.443879,0.651795,3.021325,0.355845,22.358291,0.485987
0.010000,1.149777,4.458358,0.682066,3.027098,0.577264,22.141968,0.511419
0.010000,1.176054,4.473545,0.712416,3.035030,0.793241,21.597628,0.536603
0.010000,1.202029,4.489437,0.742866,3.045037,1.000699,20.745823,0.561475
0.010000,1.227703,4.506030,0.773436,3.057006,1.196878,19.617926,0.585972
0.010000,1.253082,4.523320,0.804144,3.070800,1.379425,18.254685,0.610038
0.010000,1.278166,4.541299,0.835007,3.086265,1.546451,16.702554,0.633622
0.010000,1.302960,4.559961,0.866039,3.103230,1.696568,15.011717,0.656675
0.010000,1.327467,4.579296,0.897255,3.121519,1.828896,13.232870,0.679157
0.010000,1.351688,4.599293,0.928664,3.140950,1.943045,11.414885,0.701031
0.010000,1.375627,4.619940,0.960277,3.161341,2.039071,9.602614,0.722269
0.010000,1.399286,4.641226,0.992103,3.182515,2.117426,7.835437,0.742845
0.010000,1.422669,4.663135,1.024146,3.204304,2.178889,6.146305,0.762740
0.010000,1.445779,4.685651,1.056411,3.226549,2.224501,4.561188,0.781940
0.010000,1.468619,4.708760,1.088902,3.249104,2.255493,3.099246,0.800435
0.010000,1.491192,4.732444,1.121621,3.271836,2.273225,1.773154,0.818220
0.010000,1.513504,4.756686,1.154567,3.294627,2.279122,0.589749,0.835293
0.010000,1.535558,4.781466,1.187741,3.317373,2.274632,-0.449006,0.851655
0.010000,1.557361,4.806768,1.221140,3.339985,2.261178,-1.345373,0.867311
0.010000,1.578918,4.832573,1.254764,3.362387,2.240131,-2.104757,0.882267
0.010000,1.600234,4.858862,1.288609,3.384514,2.212783,-2.734794,0.896531
0.010000,1.621318,4.885616,1.322673,3.406318,2.180334,-3.244877,0.910114
0.010000,1.642176,4.912817,1.356950,3.427756,2.143880,-3.645420,0.923027
0.010000,1.662815,4.940447,1.391438,3.448801,2.104411,-3.946915,0.935282
0.010000,1.683246,4.968488,1.426132,3.469429,2.062807,-4.160338,0.946893
0.010000,1.703475,4.996923,1.461029,3.489627,2.019848,-4.295929,0.957873
0.010000,1.723512,5.025734,1.496123,3.509389,1.976210,-4.363814,0.968236
0.010000,1.743368,5.054905,1.531410,3.528714,1.932481,-4.372873,0.977994
0.010000,1.763051,5.084420,1.566886,3.547606,1.889162,-4.331936,0.987162
0.010000,1.782573,5.114262,1.602547,3.566072,1.846679,-4.248326,0.995754
0.010000,1.801943,5.144418,1.638388,3.584126,1.805389,-4.128962,1.003781
0.010000,1.821174,5.174873,1.674406,3.601782,1.765591,-3.979832,1.011256
0.010000,1.840276,5.205611,1.710596,3.619058,1.727529,-3.806127,1.018191
0.010000,1.859261,5.236621,1.746956,3.635972,1.691406,-3.612365,1.024598
0.010000,1.878140,5.267889,1.783481,3.652545,1.657381,-3.402449,1.030487
0.010000,1.896926,5.299402,1.820169,3.668801,1.625585,-3.179615,1.035868
0.010000,1.915632,5.331149,1.857017,3.684762,1.596119,-2.946646,1.040751
0.010000,1.934269,5.363118,1.894022,3.700453,1.569061,-2.705763,1.045143
0.010000,1.952850,5.395297,1.931180,3.715898,1.544472,-2.458890,1.049052
0.010000,1.971389,5.427677,1.968492,3.731122,1.522397,-2.207513,1.052486
0.010000,1.989898,5.460246,2.005953,3.746150,1.502869,-1.952836,1.055450
0.010000,2.008392,5.492996,2.043563,3.761010,1.485911,-1.695807,1.057949
0.010000,2.026883,5.525915,2.081321,3.775725,1.471539,-1.437134,1.059989
0.010000,2.045386,5.558995,2.119224,3.790323,1.459765,-1.177415,1.061573
0.010000,2.063914,5.592227,2.157272,3.804829,1.450596,-0.916949,1.062703
0.010000,2.082483,5.625602,2.195465,3.819269,1.444035,-0.656095,1.063382
0.010000,2.101106,5.659111,2.233801,3.833670,1.440085,-0.394977,1.063611
0.010000,2.119799,5.692747,2.272282,3.848057,1.438747,-0.133756,1.063391
0.010000,2.138578,5.726499,2.310907,3.862457,1.440022,0.127501,1.062720
0.010000,2.157456,5.760361,2.349676,3.876897,1.443910,0.388727,1.061598
0.010000,2.176451,5.794324,2.388590,3.891401,1.450408,0.649805,1.060023
0.010000,2.195579,5.828380,2.427650,3.905996,1.459514,0.910670,1.057992
0.010000,2.214856,5.862521,2.466857,3.920708,1.471225,1.171059,1.055501
0.010000,2.234300,5.896738,2.506212,3.935563,1.485533,1.430809,1.052546
0.010000,2.253927,5.931023,2.545718,3.950588,1.502427,1.689411,1.049122
0.010000,2.273755,5.965368,2.585376,3.965807,1.521891,1.946413,1.045221
0.010000,2.293804,5.999765,2.625189,3.981246,1.543902,2.201062,1.040838
0.010000,2.314091,6.034203,2.665158,3.996930,1.568426,2.452421,1.035966
0.010000,2.334636,6.068674,2.705287,4.012884,1.595419,2.699324,1.030594
0.010000,2.355458,6.103167,2.745578,4.029132,1.624821,2.940194,1.024715
