position,velocity,dt
0.000005,0.000999,10
0.000008,0.000301,10
0.000009,0.000083,10
0.000077,0.00679,10
0.000183,0.01061,10
0.000336,0.015278,10
0.000544,0.020794,10
0.000815,0.027158,10
0.001159,0.034371,10
0.001583,0.04243,10
0.002097,0.051336,10
0.002707,0.061088,10
0.003424,0.071686,10
0.004256,0.083128,10
0.00521,0.095412,10
0.006295,0.108539,10
0.00752,0.122506,10
0.008893,0.137312,10
0.010423,0.152954,10
0.012117,0.169432,10
0.013984,0.186741,10
0.016033,0.20488,10
0.018272,0.223846,10
0.020708,0.243635,10
0.023351,0.264244,10
0.026207,0.28567,10
0.029286,0.307908,10
0.032596,0.330954,10
0.036144,0.354803,10
0.039938,0.379449,10
0.043987,0.404889,10
0.048298,0.431114,10
0.05288,0.45812,10
0.057739,0.4859,10
0.062883,0.514446,10
0.068321,0.54375,10
0.074059,0.573806,10
0.080105,0.604604,10
0.086466,0.636136,10
0.09315,0.668393,10
0.100164,0.701365,10
0.107514,0.735041,10
0.115208,0.769412,10
0.123253,0.804466,10
0.131655,0.840194,10
0.140421,0.876582,10
0.149557,0.913621,10
0.15907,0.951298,10
0.168966,0.989602,10
0.179251,1.028521,10
0.189931,1.068045,10
0.201013,1.108163,10
0.212502,1.148864,10
0.224403,1.190139,10
0.236723,1.231982,10
0.249467,1.274384,10
0.26264,1.317343,10
0.276249,1.360854,10
0.290298,1.40492,10
0.304793,1.449544,10
0.319741,1.494735,10
0.335146,1.540503,10
0.351006,1.58607,10
0.367313,1.630668,10
0.384057,1.674344,10
0.401228,1.717147,10
0.418819,1.759136,10
0.436823,1.800374,10
0.455232,1.840929,10
0.474041,1.880878,10
0.493244,1.920301,10
0.512837,1.959281,10
0.532816,1.997906,10
0.553179,2.036267,10
0.573923,2.074455,10
0.595049,2.11256,10
0.616556,2.15067,10
0.638444,2.188869,10
0.660717,2.227234,10
0.683375,2.265837,10
0.706422,2.304737,10
0.729862,2.343986,10
0.753698,2.383621,10
0.777935,2.423666,10
0.802576,2.464131,10
0.827627,2.505014,10
0.85309,2.546295,10
0.878969,2.587945,10
0.905268,2.629917,10
0.93199,2.672157,10
0.959136,2.714597,10
0.986707,2.757164,10
1.014705,2.799776,10
1.043129,2.842346,10
1.071976,2.884784,10
1.101246,2.926998,10
1.130935,2.968899,10
1.161039,3.010395,10
1.191553,3.051401,10
1.222472,3.091833,10
1.253788,3.131612,10
1.285494,3.170667,10
1.317584,3.208929,10
1.350047,3.246337,10
1.382875,3.282837,10
1.416059,3.31838,10
1.449588,3.352922,10
1.483453,3.386427,10
1.517641,3.418863,10
1.552143,3.450204,10
1.586948,3.480428,10
1.622043,3.509518,10
1.657417,3.537461,10
1.69306,3.564247,10
1.728959,3.589871,10
1.765102,3.61433,10
1.801478,3.637623,10
1.838076,3.659751,10
1.874883,3.680719,10
1.911888,3.700531,10
1.94908,3.719196,10
1.986447,3.73672,10
2.023978,3.753112,10
2.061662,3.768384,10
2.099493,3.783037,10
2.137469,3.797585,10
2.175589,3.812055,10
2.213854,3.826473,10
2.252262,3.840864,10
2.290815,3.855254,10
2.329512,3.869671,10
2.368353,3.884139,10
2.40734,3.898685,10
2.446473,3.913336,10
2.485754,3.928116,10
2.525185,3.943053,10
2.564767,3.958171,10
2.604502,3.973497,10
2.644392,3.989055,10
2.684441,4.004872,10
2.724651,4.02097,10
2.765024,4.037374,10
2.805565,4.054107,10
2.846277,4.071189,10
2.887164,4.088643,10
2.928229,4.106485,10
2.969476,4.124733,10
3.01091,4.1434,10
3.052535,4.162495,10
3.094355,4.182026,10
3.136375,4.201994,10
3.178599,4.222396,10
3.221031,4.243221,10
3.263676,4.264453,10
3.306536,4.286065,10
3.349617,4.308024,10
3.39292,4.330284,10
3.436447,4.352788,10
3.480202,4.375467,10
3.524184,4.39824,10
3.568395,4.421008,10
3.612831,4.443662,10
3.657492,4.466077,10
3.702373,4.488113,10
3.747469,4.509618,10
3.792774,4.530428,10
3.838277,4.55037,10
3.88397,4.569266,10
3.929839,4.586933,10
3.975871,4.603191,10
4.02205,4.617865,10
4.068358,4.630793,10
4.114776,4.641828,10
4.161284,4.650845,10
4.207862,4.657744,10
4.254486,4.662454,10
4.301136,4.664936,10
4.347788,4.665186,10
4.39442,4.66323,10
4.441011,4.659129,10
4.487541,4.652975,10
4.53399,4.644884,10
4.58034,4.634997,10
4.626574,4.623471,10
4.672679,4.610477,10
4.718641,4.596193,10
4.764449,4.580802,10
4.810094,4.564484,10
4.855568,4.547415,10
4.900866,4.529761,10
4.945983,4.511681,10
4.990916,4.49332,10
5.035664,4.474808,10
5.080227,4.456265,10
5.124604,4.437794,10
5.169007,4.440248,10
5.213613,4.460652,10
5.258148,4.453469,10
5.302599,4.44506,10
5.346954,4.435474,10
5.391201,4.42477,10
5.435331,4.413014,10
5.479334,4.400279,10
5.523201,4.386643,10
5.566922,4.372187,10
5.610492,4.356992,10
5.653904,4.341141,10
5.697151,4.324715,10
5.740229,4.307793,10
5.783133,4.29045,10
5.825861,4.272756,10
5.868407,4.254602,10
5.910762,4.235502,10
5.952913,4.21515,10
5.99485,4.193616,10
6.036559,4.170964,10
6.078032,4.14725,10
6.119257,4.122527,10
6.160225,4.09684,10
6.200928,4.070229,10
6.241355,4.042731,10
6.281499,4.014376,10
6.321351,3.985191,10
6.360903,3.955197,10
6.400147,3.924415,10
6.439075,3.89286,10
6.477681,3.860545,10
6.515956,3.827482,10
6.553893,3.793679,10
6.591484,3.759145,10
6.628723,3.723885,10
6.665602,3.687906,10
6.702114,3.651212,10
6.738252,3.613809,10
6.774009,3.575699,10
6.809378,3.53689,10
6.844352,3.497384,10
6.878924,3.457188,10
6.913087,3.416308,10
6.946834,3.374751,10
6.98016,3.332524,10
7.013056,3.289636,10
7.045517,3.246095,10
7.077536,3.201914,10
7.109107,3.157103,10
7.140224,3.111674,10
7.17088,3.06564,10
7.20107,3.019017,10
7.230788,2.971818,10
7.260029,2.92406,10
7.288787,2.875758,10
7.317056,2.826929,10
7.344832,2.777591,10
7.372109,2.72776,10
7.398884,2.677453,10
7.425151,2.626686,10
7.450906,2.575476,10
7.476144,2.523838,10
7.500862,2.471787,10
7.525055,2.419337,10
7.54872,2.366498,10
7.571853,2.313283,10
7.59445,2.2597,10
7.616508,2.205756,10
7.638022,2.151457,10
7.65899,2.096807,10
7.679408,2.041806,10
7.699273,1.986454,10
