dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.495008,4.300000,0.000005,0.000999,0.099898,9.989781,6.283162
0.010000,0.495003,4.300000,0.000010,0.000482,-0.051721,-15.161896,6.283177
0.010000,0.495026,4.300000,0.000033,0.002299,0.181675,23.339601,0.000025
0.010000,0.495086,4.300000,0.000093,0.006065,0.376610,19.493535,0.000086
0.010000,0.495181,4.300000,0.000188,0.009476,0.341107,-3.550287,0.000180
0.010000,0.495318,4.300000,0.000325,0.013644,0.416871,7.576402,0.000315
0.010000,0.495503,4.300000,0.000510,0.018570,0.492603,7.573197,0.000500
0.010000,0.495746,4.300000,0.000753,0.024253,0.568290,7.568625,0.000741
0.010000,0.496053,4.300001,0.001060,0.030692,0.643916,7.562644,0.001046
0.010000,0.496432,4.300001,0.001439,0.037887,0.719464,7.554816,0.001423
0.010000,0.496890,4.300002,0.001897,0.045836,0.794917,7.545234,0.001879
0.010000,0.497435,4.300003,0.002442,0.054539,0.870252,7.533546,0.002423
0.010000,0.498075,4.300005,0.003082,0.063993,0.945447,7.519466,0.003061
0.010000,0.498817,4.300007,0.003824,0.074198,1.020474,7.502738,0.003802
0.010000,0.499669,4.300011,0.004676,0.085151,1.095310,7.483628,0.004653
0.010000,0.500637,4.300016,0.005644,0.096850,1.169925,7.461490,0.005622
0.010000,0.501730,4.300023,0.006737,0.109293,1.244287,7.436169,0.006718
0.010000,0.502955,4.300032,0.007962,0.122477,1.318365,7.407765,0.007947
0.010000,0.504319,4.300043,0.009326,0.136398,1.392124,7.375912,0.009320
0.010000,0.505829,4.300059,0.010837,0.151053,1.465529,7.340575,0.010843
0.010000,0.507494,4.300078,0.012501,0.166439,1.538544,7.301433,0.012525
0.010000,0.509319,4.300103,0.014326,0.182550,1.611132,7.258796,0.014376
0.010000,0.511312,4.300133,0.016320,0.199383,1.683251,7.211911,0.016402
0.010000,0.513481,4.300171,0.018490,0.216931,1.754865,7.161447,0.018614
0.010000,0.515833,4.300218,0.020842,0.235191,1.825935,7.106964,0.021020
