dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.494993,4.300000,0.000005,0.000983,0.098295,9.829456,0.000021
0.010000,0.494998,4.300000,0.000010,0.000476,-0.050689,-14.898345,0.000006
0.010000,0.495044,4.300000,0.000056,0.004640,0.416431,46.711973,6.283158
0.010000,0.495142,4.300000,0.000154,0.009768,0.512753,9.632188,6.283099
0.010000,0.495295,4.300000,0.000306,0.015263,0.549461,3.670872,6.283006
0.010000,0.495514,4.300000,0.000526,0.021978,0.671591,12.212938,6.282872
0.010000,0.495814,4.300000,0.000825,0.029916,0.793740,12.214890,6.282690
0.010000,0.496204,4.300000,0.001216,0.039075,0.915921,12.218163,6.282451
0.010000,0.496699,4.299999,0.001711,0.049456,1.038143,12.222119,6.282150
0.010000,0.497310,4.299998,0.002321,0.061061,1.160416,12.227353,6.281778
0.010000,0.498048,4.299997,0.003060,0.073888,1.282755,12.233904,6.281327
0.010000,0.498928,4.299995,0.003940,0.087940,1.405173,12.241781,6.280791
0.010000,0.499960,4.299993,0.004972,0.103217,1.527684,12.251093,6.280161
0.010000,0.501157,4.299988,0.006169,0.119720,1.650307,12.262268,6.279430
0.010000,0.502532,4.299983,0.007543,0.137450,1.773057,12.275087,6.278590
0.010000,0.504096,4.299975,0.009107,0.156410,1.895954,12.289682,6.277634
0.010000,0.505862,4.299964,0.010873,0.176600,2.019017,12.306289,6.276554
0.010000,0.507842,4.299950,0.012854,0.198023,2.142266,12.324893,6.275342
0.010000,0.510049,4.299931,0.015061,0.220680,2.265722,12.345565,6.273990
0.010000,0.512494,4.299907,0.017506,0.244574,2.389404,12.368241,6.272490
0.010000,0.515191,4.299875,0.020203,0.269707,2.513336,12.393176,6.270835
0.010000,0.518152,4.299836,0.023164,0.296083,2.637538,12.420175,6.269016
0.010000,0.521388,4.299787,0.026401,0.323703,2.762027,12.448945,6.267025
0.010000,0.524913,4.299726,0.029927,0.352571,2.886828,12.480072,6.264854
0.010000,0.528740,4.299652,0.033754,0.382691,3.011957,12.512940,6.262494
0.010000,0.532879,4.299561,0.037894,0.414065,3.137430,12.547254,6.259937
0.010000,0.537345,4.299451,0.042361,0.446698,3.263266,12.583594,6.257174
0.010000,0.542149,4.299319,0.047167,0.480593,3.389470,12.620396,6.254196
0.010000,0.547304,4.299161,0.052325,0.515753,3.516057,12.658736,6.250995
0.010000,0.552823,4.298974,0.057847,0.552183,3.643029,12.697187,6.247562
0.010000,0.558718,4.298753,0.063746,0.589887,3.770386,12.735688,6.243888
0.010000,0.565001,4.298493,0.070034,0.628868,3.898122,12.773587,6.239963
0.010000,0.571685,4.298190,0.076726,0.669131,4.026224,12.810197,6.235778
0.010000,0.578783,4.297838,0.083832,0.710677,4.154667,12.844380,6.231324
0.010000,0.586307,4.297429,0.091367,0.753512,4.283426,12.875857,6.226591
0.010000,0.594270,4.296958,0.099344,0.797636,4.412456,12.902959,6.221569
0.010000,0.602683,4.296417,0.107774,0.843053,4.541701,12.924534,6.216249
0.010000,0.611559,4.295796,0.116672,0.889764,4.671095,12.939390,6.210622
0.010000,0.620910,4.295089,0.126050,0.937770,4.800552,12.945713,6.204677
0.010000,0.630748,4.294284,0.135920,0.987069,4.929967,12.941462,6.198405
0.010000,0.641084,4.293371,0.146297,1.037661,5.059218,12.925110,6.191795
0.010000,0.651931,4.292339,0.157192,1.089543,5.188158,12.893992,6.184840
0.010000,0.663298,4.291175,0.168620,1.142709,5.316613,12.845568,6.177528
