position,velocity,dt
0.004801,0.96025,10
0.022382,1.758112,10
0.051751,2.936872,10
0.093001,4.124986,10
0.14032,4.731919,10
0.187807,4.748681,10
0.235436,4.762923,10
0.283179,4.774324,10
0.331005,4.7826,10
0.378881,4.787514,10
0.426769,4.788889,10
0.474636,4.786613,10
0.522442,4.780652,10
0.570153,4.771043,10
0.617732,4.757902,10
0.665146,4.741407,10
0.712364,4.721799,10
0.759357,4.699362,10
0.806101,4.674416,10
0.852574,4.6473,10
0.898758,4.618361,10
0.944637,4.58794,10
0.990201,4.556364,10
1.03544,4.523941,10
1.08035,4.490948,10
1.124926,4.457631,10
1.169168,4.424207,10
1.213077,4.390855,10
1.256654,4.357727,10
1.299904,4.32494,10
1.342829,4.292588,10
1.385437,4.260736,10
1.427731,4.22943,10
1.469718,4.198695,10
1.511403,4.168539,10
1.552793,4.138958,10
1.593892,4.109934,10
1.634707,4.081439,10
1.675241,4.05344,10
1.7155,4.025893,10
1.755488,3.998751,10
1.795207,3.971964,10
1.834662,3.945477,10
1.873854,3.919233,10
1.912786,3.893172,10
1.951458,3.867235,10
1.989872,3.84136,10
2.028027,3.815486,10
2.065922,3.789551,10
2.103557,3.763493,10
2.14093,3.737253,10
2.178038,3.710772,10
2.214877,3.683992,10
2.251446,3.656858,10
2.287739,3.62932,10
2.323753,3.601329,10
2.359481,3.572844,10
2.394919,3.54383,10
2.430062,3.514259,10
2.464903,3.484113,10
2.499437,3.453387,10
2.533658,3.422089,10
2.56756,3.390243,10
2.601139,3.357894,10
2.63439,3.325109,10
2.66731,3.291977,10
2.699896,3.258618,10
2.732148,3.225181,10
2.764066,3.191845,10
2.795655,3.158826,10
2.826918,3.126369,10
2.857866,3.094752,10
2.888509,3.06428,10
2.918861,3.03528,10
2.948942,3.008094,10
2.978773,2.98307,10
3.008379,2.960547,10
3.037787,2.940845,10
3.06703,2.92425,10
3.09614,2.911005,10
3.125152,2.901291,10
3.154105,2.895224,10
3.183033,2.892844,10
3.211974,2.894119,10
3.240964,2.898939,10
3.270035,2.90713,10
3.29922,2.918454,10
3.328546,2.932629,10
3.358039,2.949335,10
3.3841,2.606111,10
3.402941,1.884066,10
3.414367,1.142604,10
3.418317,0.395011,10
3.418418,0.010072,10
3.418418,0,10
