dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.272012,7.347997,0.004801,0.960250,96.025000,9602.500000,6.282160
0.010000,4.287434,7.347957,0.020224,1.542269,58.201932,-3782.306773,6.278975
0.010000,4.313171,7.347779,0.045961,2.573742,103.147268,4494.533574,6.273565
0.010000,4.349272,7.347292,0.082065,3.610404,103.666172,51.890359,6.265767
0.010000,4.390631,7.346381,0.123435,4.136915,52.651092,-5101.507971,6.256520
0.010000,4.432101,7.345077,0.164925,4.149026,1.211173,-5143.991904,6.246893
0.010000,4.473684,7.343360,0.206543,4.161868,1.284184,7.301156,6.236866
0.010000,4.515384,7.341210,0.248298,4.175494,1.362594,7.840944,6.226412
0.010000,4.557202,7.338606,0.290198,4.189962,1.446789,8.419551,6.215506
0.010000,4.599143,7.335524,0.332251,4.205334,1.537208,9.041853,6.204120
0.010000,4.641207,7.331941,0.374468,4.221677,1.634269,9.706094,6.192223
0.010000,4.683398,7.327830,0.416859,4.239061,1.738441,10.417237,6.179783
0.010000,4.725717,7.323162,0.459434,4.257563,1.850172,11.173047,6.166764
0.010000,4.768165,7.317906,0.502207,4.277262,1.969899,11.972732,6.153130
0.010000,4.810744,7.312029,0.545189,4.298242,2.098022,12.812302,6.138840
0.010000,4.853453,7.305496,0.588395,4.320591,2.234894,13.687210,6.123852
0.010000,4.896292,7.298269,0.631839,4.344399,2.380804,14.590961,6.108119
0.010000,4.939258,7.290305,0.675537,4.369758,2.535889,15.508529,6.091594
0.010000,4.982347,7.281561,0.719505,4.396759,2.700130,16.424053,6.074225
0.010000,5.025554,7.271989,0.763759,4.425492,2.873263,17.313344,6.055957
0.010000,5.068871,7.261536,0.808320,4.456039,3.054728,18.146478,6.036735
0.010000,5.112288,7.250150,0.853205,4.488474,3.243510,18.878202,6.016499
0.010000,5.155789,7.237769,0.898433,4.522855,3.438090,19.457998,5.995189
0.010000,5.199356,7.224333,0.944025,4.559218,3.636271,19.818152,5.972741
0.010000,5.242966,7.209776,0.990001,4.597568,3.835009,19.873755,5.949095
0.010000,5.286589,7.194027,1.036380,4.637871,4.030289,19.527988,5.924189
0.010000,5.330188,7.177016,1.083180,4.680039,4.216846,18.655749,5.897965
0.010000,5.373718,7.158667,1.130419,4.723921,4.388151,17.130485,5.870369
0.010000,5.417125,7.138905,1.178112,4.769282,4.536150,14.799929,5.841355
0.010000,5.460341,7.117657,1.226270,4.815795,4.651309,11.515829,5.810887
0.010000,5.503291,7.094848,1.274900,4.863022,4.722625,7.131662,5.778942
0.010000,5.545883,7.070413,1.324004,4.910401,4.737967,1.534209,5.745516
0.010000,5.588015,7.044290,1.373577,4.957246,4.684498,-5.346924,5.710626
0.010000,5.629567,7.016431,1.423604,5.002742,4.549539,-13.495914,5.674313
0.010000,5.670410,6.986800,1.474064,5.045958,4.321594,-22.794459,5.636649
0.010000,5.710403,6.955380,1.524923,5.085875,3.991757,-32.983698,5.597736
0.010000,5.749395,6.922176,1.576137,5.121427,3.555176,-43.658133,5.557712
0.010000,5.787232,6.887216,1.627652,5.151552,3.012502,-54.267444,5.516746
0.010000,5.823759,6.850554,1.679405,5.175262,2.371008,-64.149349,5.475039
0.010000,5.858826,6.812269,1.731322,5.191713,1.645105,-72.590321,5.432817
0.010000,5.892295,6.772468,1.783325,5.200273,0.855974,-78.913123,5.390327
0.010000,5.924044,6.731278,1.835331,5.200576,0.030303,-82.567095,5.347828
0.010000,5.953973,6.688846,1.887256,5.192557,-0.801883,-83.218540,5.305580
