dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.271355,1.506002,0.004801,0.960250,96.025000,9602.500000,0.001026
0.010000,4.284740,1.506037,0.018186,1.338479,37.822946,-5820.205384,0.004210
0.010000,4.307015,1.506191,0.040461,2.227502,88.902273,5107.932711,0.009620
0.010000,4.338125,1.506611,0.071574,3.111329,88.382700,-51.957299,0.017418
0.010000,4.373567,1.507391,0.107025,3.545058,43.372875,-4500.982561,0.026666
0.010000,4.408879,1.508502,0.142354,3.532944,-1.211387,-4458.426188,0.036292
0.010000,4.444050,1.509954,0.177555,3.520100,-1.284447,-7.305947,0.046320
0.010000,4.479068,1.511759,0.212620,3.506471,-1.362877,-7.843007,0.056773
0.010000,4.513921,1.513929,0.247540,3.492000,-1.447102,-8.422514,0.067679
0.010000,4.548594,1.516476,0.282306,3.476624,-1.537540,-9.043815,0.079065
0.010000,4.583072,1.519413,0.316909,3.460278,-1.634651,-9.711075,0.090962
0.010000,4.617338,1.522752,0.351338,3.442889,-1.738868,-10.421757,0.103402
0.010000,4.651376,1.526506,0.385582,3.424383,-1.850645,-11.177712,0.116421
0.010000,4.685164,1.530689,0.419629,3.404679,-1.970419,-11.977308,0.130055
0.010000,4.718684,1.535315,0.453466,3.383693,-2.098603,-12.818416,0.144345
0.010000,4.751911,1.540397,0.487079,3.361337,-2.235555,-13.695222,0.159333
0.010000,4.784821,1.545949,0.520454,3.337522,-2.381536,-14.598111,0.175066
0.010000,4.817388,1.551984,0.553576,3.312155,-2.536707,-15.517105,0.191591
0.010000,4.849583,1.558517,0.586427,3.285144,-2.701045,-16.433812,0.208961
0.010000,4.881376,1.565560,0.618991,3.256401,-2.874294,-17.324890,0.227228
0.010000,4.912735,1.573126,0.651250,3.225843,-3.055867,-18.157268,0.246450
0.010000,4.943625,1.581226,0.683183,3.193395,-3.244787,-18.892009,0.266686
0.010000,4.974008,1.589872,0.714773,3.158999,-3.439521,-19.473403,0.287997
0.010000,5.003848,1.599073,0.746000,3.122621,-3.637863,-19.834253,0.310444
0.010000,5.033104,1.608838,0.776842,3.084253,-3.836787,-19.892369,0.334090
0.010000,5.061735,1.619173,0.807282,3.043931,-4.032234,-19.544639,0.358996
0.010000,5.089700,1.630082,0.837299,3.001741,-4.219007,-18.677384,0.385220
0.010000,5.116957,1.641570,0.866877,2.957835,-4.390514,-17.150645,0.412816
0.010000,5.143464,1.653636,0.896002,2.912448,-4.538724,-14.821026,0.441830
0.010000,5.169183,1.666279,0.924661,2.865907,-4.654073,-11.534905,0.472298
0.010000,5.194078,1.679497,0.952847,2.818652,-4.725579,-7.150612,0.504243
0.010000,5.218117,1.693286,0.980560,2.771241,-4.741065,-1.548554,0.537669
0.010000,5.241272,1.707641,1.007803,2.724364,-4.687705,5.335949,0.572559
0.010000,5.263523,1.722557,1.034592,2.678836,-4.552779,13.492668,0.608872
0.010000,5.284858,1.738032,1.060948,2.635588,-4.324795,22.798393,0.646537
0.010000,5.305270,1.754066,1.086904,2.595640,-3.994819,32.997599,0.685449
0.010000,5.324762,1.770662,1.112505,2.560060,-3.557986,43.683219,0.725473
0.010000,5.343344,1.787830,1.137804,2.529911,-3.014945,54.304152,0.766439
0.010000,5.361034,1.805584,1.162866,2.506181,-2.372973,64.197213,0.808147
0.010000,5.377851,1.823943,1.187763,2.489716,-1.646485,72.648741,0.850368
0.010000,5.393820,1.842933,1.212574,2.481149,-0.856701,78.978475,0.892858
0.010000,5.408965,1.862582,1.237383,2.480846,-0.030330,82.637095,0.935357
0.010000,5.423310,1.882920,1.262271,2.488871,0.802565,83.289424,0.977605
0.010000,5.436874,1.903980,1.287321,2.504984,1.611275,80.871072,1.019350
0.010000,5.449676,1.925786,1.312608,2.528657,2.367276,75.600107,1.060355
0.010000,5.461726,1.948363,1.338199,2.559124,3.046673,67.939642,1.100408
0.010000,5.473034,1.971725,1.364153,2.595443,3.631917,58.524412,1.139327
0.010000,5.483603,1.995879,1.390519,2.636569,4.112588,48.067110,1.176961
0.010000,5.493438,2.020825,1.417333,2.681421,4.485248,37.266000,1.213193
0.010000,5.502540,2.046551,1.444623,2.728947,4.752560,26.731168,1.247940
0.010000,5.510911,2.073042,1.472405,2.778166,4.921950,16.939024,1.281150
0.010000,5.518555,2.100272,1.500687,2.828207,5.004090,8.214023,1.312796
0.010000,5.525474,2.128211,1.529470,2.878322,5.011456,0.736556,1.342876
0.010000,5.531678,2.156825,1.558749,2.927893,4.957092,-5.436357,1.371408
0.010000,5.537174,2.186077,1.588513,2.976430,4.853683,-10.340868,1.398423
0.010000,5.541974,2.215929,1.618749,3.023559,4.712914,-14.076965,1.423965
0.010000,5.546093,2.246342,1.649439,3.069010,4.545106,-16.780744,1.448087
0.010000,5.549547,2.277276,1.680565,3.112600,4.359062,-18.604427,1.470848
0.010000,5.552354,2.308693,1.712107,3.154221,4.162060,-19.700230,1.492308
0.010000,5.554532,2.340556,1.744045,3.193820,3.959948,-20.211132,1.512530
0.010000,5.556103,2.372832,1.776359,3.231394,3.757313,-20.263527,1.531579
0.010000,5.557087,2.405487,1.809029,3.266970,3.557623,-19.969015,1.549516
0.010000,5.557508,2.438490,1.842035,3.300604,3.363447,-19.417624,1.566402
0.010000,5.557386,2.471814,1.875358,3.332370,3.176585,-18.686126,1.582296
0.010000,5.556745,2.505431,1.908982,3.362353,2.998256,-17.832957,1.597253
0.010000,5.555607,2.539319,1.942888,3.390645,2.829191,-16.906486,1.611325
0.010000,5.553994,2.573454,1.977062,3.417342,2.669769,-15.942235,1.624564
0.010000,5.551927,2.607817,2.011487,3.442543,2.520097,-14.967127,1.637015
0.010000,5.549429,2.642391,2.046151,3.466344,2.380080,-14.001756,1.648722
0.010000,5.546519,2.677158,2.081039,3.488839,2.249484,-13.059625,1.659727
0.010000,5.543219,2.712103,2.116140,3.510119,2.127968,-12.151548,1.670066
0.010000,5.539548,2.747214,2.151443,3.530270,2.015146,-11.282208,1.679776
0.010000,5.535525,2.782480,2.186937,3.549376,1.910574,-10.457250,1.688889
0.010000,5.531169,2.817888,2.222612,3.567514,1.813807,-9.676697,1.697435
0.010000,5.526497,2.853430,2.258460,3.584758,1.724384,-8.942269,1.705443
0.010000,5.521528,2.889097,2.294471,3.601176,1.641866,-8.251834,1.712937
0.010000,5.516277,2.924882,2.330640,3.616834,1.565815,-7.605108,1.719942
0.010000,5.510762,2.960779,2.366958,3.631793,1.495820,-6.999452,1.726479
0.010000,5.504997,2.996781,2.403419,3.646108,1.431494,-6.432605,1.732570
0.010000,5.498999,3.032885,2.440017,3.659832,1.372465,-5.902861,1.738231
0.010000,5.492781,3.069085,2.476747,3.673016,1.318403,-5.406240,1.743480
0.010000,5.486359,3.105378,2.513604,3.685706,1.268986,-4.941671,1.748333
0.010000,5.479746,3.141761,2.550584,3.697945,1.223928,-4.505808,1.752803
0.010000,5.472955,3.178232,2.587681,3.709775,1.182967,-4.096149,1.756904
0.010000,5.466000,3.214789,2.624894,3.721234,1.145858,-3.710841,1.760647
0.010000,5.458893,3.251429,2.662217,3.732358,1.112388,-3.347024,1.764042
0.010000,5.451647,3.288153,2.699649,3.743181,1.082356,-3.003161,1.767099
0.010000,5.444275,3.324960,2.737186,3.753737,1.055592,-2.676459,1.769825
0.010000,5.436787,3.361848,2.774827,3.764056,1.031935,-2.365695,1.772230
0.010000,5.429196,3.398818,2.812569,3.774169,1.011250,-2.068490,1.774318
0.010000,5.421514,3.435871,2.850410,3.784103,0.993417,-1.783321,1.776096
0.010000,5.413751,3.473008,2.888349,3.793886,0.978332,-1.508429,1.777569
0.010000,5.405920,3.510228,2.926384,3.803545,0.965911,-1.242178,1.778739
0.010000,5.398031,3.547534,2.964515,3.813106,0.956079,-0.983119,1.779611
0.010000,5.390095,3.584927,3.002741,3.822594,0.948783,-0.729668,1.780186
0.010000,5.382123,3.622409,3.041061,3.832034,0.943980,-0.480327,1.780466
0.010000,5.374127,3.659982,3.079476,3.841450,0.941642,-0.233790,1.780452
0.010000,5.366117,3.697649,3.117985,3.850868,0.941756,0.011445,1.780144
0.010000,5.358105,3.735411,3.156588,3.860311,0.944324,0.256741,1.779540
0.010000,5.350102,3.773273,3.195286,3.869805,0.949358,0.503471,1.778640
0.010000,5.342119,3.811236,3.234079,3.879374,0.956890,0.753145,1.777441
0.010000,5.334167,3.849305,3.272970,3.889043,0.966960,1.007045,1.775940
0.010000,5.326258,3.887483,3.311958,3.898839,0.979627,1.266648,1.774132
0.010000,5.318404,3.925773,3.351046,3.908789,0.994964,1.533731,1.772014
0.010000,5.310618,3.964181,3.390235,3.918920,1.013058,1.809402,1.769579
0.010000,5.302911,4.002711,3.429528,3.929260,1.034014,2.095607,1.766820
0.010000,5.295296,4.041366,3.468926,3.939839,1.057953,2.393936,1.763732
0.010000,5.287786,4.080153,3.508433,3.950690,1.085016,2.706253,1.760304
0.010000,5.280395,4.119076,3.548052,3.961843,1.115358,3.034244,1.756527
0.010000,5.273137,4.158140,3.587785,3.973335,1.149157,3.379869,1.752392
