dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.270130,1.506008,0.004801,0.960250,96.025000,9602.500000,0.005773
0.010000,4.278864,1.506136,0.013537,0.873538,-8.671164,-10469.616418,0.023486
0.010000,4.293085,1.506685,0.027768,1.423141,54.960311,6363.147554,0.054031
0.010000,4.312279,1.508148,0.047017,1.924918,50.177665,-478.264642,0.098900
0.010000,4.333200,1.510788,0.068104,2.108721,18.380258,-3179.740699,0.153025
0.010000,4.353093,1.514430,0.088328,2.022374,-8.634667,-2701.492479,0.209849
0.010000,4.372068,1.519054,0.107858,1.952965,-6.940932,169.373479,0.268841
0.010000,4.390283,1.524666,0.126919,1.906087,-4.687742,225.318979,0.329298
0.010000,4.407938,1.531308,0.145782,1.886295,-1.979212,270.852988,0.390373
0.010000,4.425246,1.539056,0.164744,1.896272,0.997641,297.685328,0.451137
0.010000,4.442410,1.548017,0.184107,1.936289,4.001725,300.408388,0.510650
0.010000,4.459603,1.558317,0.204149,2.004150,6.786093,278.436809,0.568043
0.010000,4.476948,1.570077,0.225105,2.095635,9.148570,236.247670,0.622578
0.010000,4.494522,1.583400,0.247158,2.205299,10.966360,181.779049,0.673686
0.010000,4.512355,1.598355,0.270432,2.327349,12.204963,123.860333,0.720981
0.010000,4.530442,1.614975,0.294995,2.456389,12.904047,69.908327,0.764244
0.010000,4.548761,1.633255,0.320874,2.587899,13.150965,24.691825,0.803398
0.010000,4.567278,1.653157,0.348059,2.718432,13.053338,-9.762643,0.838474
0.010000,4.585963,1.674619,0.376515,2.845612,12.717938,-33.540052,0.869576
0.010000,4.604791,1.697562,0.406195,2.967993,12.238109,-47.982847,0.896855
0.010000,4.623748,1.721900,0.437044,3.084879,11.688602,-54.950724,0.920481
0.010000,4.642832,1.747537,0.469005,3.196132,11.125374,-56.322854,0.940632
0.010000,4.662057,1.774384,0.502025,3.302013,10.588030,-53.734356,0.957474
0.010000,4.681445,1.802351,0.536056,3.403045,10.103228,-48.480245,0.971159
0.010000,4.701035,1.831355,0.571055,3.499925,9.688049,-41.517889,0.981817
0.010000,4.720873,1.861317,0.606989,3.593454,9.352893,-33.515631,0.989553
0.010000,4.741021,1.892165,0.643834,3.684492,9.103736,-24.915698,0.994444
0.010000,4.761547,1.923835,0.681574,3.773930,8.943780,-15.995539,0.996540
0.010000,4.782533,1.956263,0.720200,3.862675,8.874568,-6.921237,0.995862
0.010000,4.804071,1.989394,0.759717,3.951642,8.896642,2.207398,0.992405
0.010000,4.826265,2.023173,0.800134,4.041740,9.009820,11.317856,0.986131
0.010000,4.849230,2.057545,0.841473,4.133871,9.213109,20.328855,0.976979
0.010000,4.873096,2.092457,0.883762,4.228913,9.504242,29.113354,0.964855
0.010000,4.898005,2.127846,0.927039,4.327701,9.878811,37.456910,0.949645
0.010000,4.924115,2.163646,0.971349,4.430990,10.328900,45.008884,0.931206
0.010000,4.951596,2.199777,1.016743,4.539402,10.841148,51.224812,0.909378
0.010000,4.980634,2.236139,1.063276,4.653344,11.394180,55.303135,0.883988
0.010000,5.011422,2.272609,1.111005,4.772898,11.955450,56.126995,0.854861
0.010000,5.044163,2.309034,1.159982,4.897676,12.477778,52.232795,0.821833
0.010000,5.079055,2.345218,1.210248,5.026639,12.896265,41.848704,0.784773
0.010000,5.116283,2.380917,1.261828,5.157908,13.126898,23.063310,0.743608
0.010000,5.156001,2.415838,1.314713,5.288596,13.068865,-5.803253,0.698356
0.010000,5.198308,2.449632,1.368861,5.414727,12.613081,-45.578458,0.649160
0.010000,5.243232,2.481903,1.424174,5.531316,11.658924,-95.415640,0.596318
0.010000,5.290700,2.512226,1.480501,5.632706,10.138961,-151.996286,0.540304
0.010000,5.340529,2.540174,1.537633,5.713177,8.047062,-209.189952,0.481773
0.010000,5.392421,2.565352,1.595311,5.767780,5.460311,-258.675101,0.421534
0.010000,5.445980,2.587432,1.653243,5.793208,2.542844,-291.746646,0.360499
0.010000,5.500741,2.606191,1.711127,5.788448,-0.475999,-301.884372,0.299614
0.010000,5.556212,2.621520,1.768677,5.754989,-3.345961,-286.996190,0.239775
0.010000,5.611918,2.633431,1.825642,5.696512,-5.847655,-250.169376,0.181765
0.010000,5.667436,2.642039,1.881824,5.618184,-7.832839,-198.518424,0.126205
0.010000,5.719077,2.647287,1.933730,5.190625,-42.755817,-3492.297757,0.076669
0.010000,5.759984,2.649650,1.974706,4.097589,-109.303694,-6654.787701,0.038953
0.010000,5.787013,2.650375,2.001744,2.703840,-139.374887,-3007.119298,0.014789
0.010000,5.800503,2.650495,2.015235,1.349035,-135.480462,389.442467,0.002956
0.010000,5.803900,2.650500,2.018632,0.339726,-100.930926,3454.953584,0.000000
0.010000,5.803900,2.650500,2.018632,0.000000,-33.972577,6695.834871,0.000000
