dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,7.112614,5.906092,0.004801,0.960250,96.025000,9602.500000,3.146597
0.010000,7.103000,5.905972,0.014417,0.961548,0.129754,-9589.524566,3.161560
0.010000,7.086868,5.905450,0.030556,1.613977,65.242940,6511.318595,3.186142
0.010000,7.064032,5.904045,0.053435,2.287891,67.391433,214.849292,3.219669
0.010000,7.037528,5.901474,0.080065,2.662925,37.503376,-2988.805749,3.256479
0.010000,7.010540,5.897875,0.107291,2.722638,5.971336,-3153.203978,3.291424
0.010000,6.983031,5.893252,0.135186,2.789508,6.686940,71.560449,3.324279
0.010000,6.954972,5.887615,0.163806,2.861982,7.247422,56.048160,3.354870
0.010000,6.926344,5.880983,0.193192,2.938583,7.660085,41.266311,3.383067
0.010000,6.897137,5.873382,0.223372,3.017985,7.940244,28.015850,3.408784
0.010000,6.867345,5.864846,0.254362,3.099067,8.108152,16.790868,3.431967
0.010000,6.836965,5.855417,0.286172,3.180929,8.186225,7.807231,3.452593
0.010000,6.805996,5.845144,0.318801,3.262897,8.196834,1.060925,3.470657
0.010000,6.774433,5.834084,0.352246,3.344505,8.160789,-3.604532,3.486171
0.010000,6.742270,5.822296,0.386500,3.425470,8.096429,-6.436000,3.499156
0.010000,6.709498,5.809847,0.421557,3.505662,8.019214,-7.721506,3.509635
0.010000,6.676103,5.796807,0.457408,3.585078,7.941653,-7.756102,3.517632
0.010000,6.642065,5.783250,0.494046,3.663813,7.873438,-6.821491,3.523169
0.010000,6.607361,5.769255,0.531466,3.742029,7.821669,-5.176848,3.526262
0.010000,6.571960,5.754901,0.569666,3.819940,7.791093,-3.057657,3.526920
0.010000,6.535831,5.740276,0.608643,3.897783,7.784292,-0.680019,3.525145
0.010000,6.498933,5.725468,0.648401,3.975801,7.801810,1.751802,3.520933
0.010000,6.461226,5.710573,0.688944,4.054223,7.842172,4.036166,3.514269
0.010000,6.422665,5.695692,0.730276,4.133241,7.901817,5.964525,3.505136
0.010000,6.383205,5.680933,0.772406,4.212991,7.974945,7.312798,3.493511
0.010000,6.342801,5.666411,0.815341,4.293524,8.053296,7.835105,3.479368
0.010000,6.301408,5.652251,0.859089,4.374783,8.125913,7.261668,3.462686
0.010000,6.258989,5.638585,0.903655,4.456572,8.178946,5.303295,3.443447
0.010000,6.215514,5.625558,0.949040,4.538528,8.195599,1.665350,3.421647
0.010000,6.170963,5.613321,0.995241,4.620092,8.156341,-3.925892,3.397297
0.010000,6.125333,5.602037,1.042246,4.700487,8.039518,-11.682204,3.370433
0.010000,6.078639,5.591872,1.090033,4.778712,7.822540,-21.697824,3.341124
0.010000,6.030922,5.582998,1.138568,4.853549,7.483703,-33.883714,3.309476
0.010000,5.982247,5.575587,1.187804,4.923596,7.004681,-47.902251,3.275637
0.010000,5.932710,5.569802,1.237678,4.987331,6.373482,-63.119836,3.239806
0.010000,5.885340,5.565975,1.285202,4.752408,-23.492322,-2986.580405,3.204427
0.010000,5.846747,5.564116,1.323839,3.863777,-88.863056,-6537.073423,3.174928
0.010000,5.820692,5.563510,1.349902,2.606222,-125.755529,-3689.247270,3.154722
0.010000,5.807366,5.563405,1.363228,1.332658,-127.356389,-160.086028,3.144309
0.010000,5.803900,5.563400,1.366694,0.346578,-98.608005,2874.838372,3.141593
0.010000,5.803900,5.563400,1.366694,0.000000,-34.657780,6395.022535,3.141593
