dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.271194,1.506005,0.004801,0.960250,96.025000,9602.500000,0.002427
0.010000,4.283258,1.506078,0.016865,1.206415,24.616462,-7140.853846,0.009738
0.010000,4.303381,1.506396,0.036991,2.012575,80.616055,5599.959377,0.021864
0.010000,4.331589,1.507251,0.065212,2.822082,80.950708,33.465313,0.038700
0.010000,4.363877,1.508810,0.097538,3.232614,41.053205,-3989.750379,0.057711
0.010000,4.396221,1.510984,0.129955,3.241647,0.903258,-4014.994626,0.076439
0.010000,4.428620,1.513766,0.162473,3.251827,1.018061,11.480264,0.094849
0.010000,4.461075,1.517151,0.195104,3.263093,1.126565,10.850443,0.112908
0.010000,4.493586,1.521130,0.227858,3.275374,1.228061,10.149544,0.130582
0.010000,4.526154,1.525695,0.260743,3.288594,1.321996,9.393515,0.147844
0.010000,4.558778,1.530836,0.293770,3.302674,1.407983,8.598736,0.164665
0.010000,4.591459,1.536543,0.326946,3.317532,1.485795,7.781141,0.181022
0.010000,4.624196,1.542805,0.360276,3.333085,1.555355,6.955986,0.196894
0.010000,4.656990,1.549611,0.393769,3.349252,1.616727,6.137208,0.212260
0.010000,4.689840,1.556948,0.427428,3.365953,1.670100,5.337347,0.227104
0.010000,4.722746,1.564802,0.461260,3.383111,1.715771,4.567115,0.241412
0.010000,4.755710,1.573161,0.495266,3.400652,1.754126,3.835486,0.255172
0.010000,4.788730,1.582010,0.529451,3.418509,1.785622,3.149550,0.268374
0.010000,4.821807,1.591333,0.563817,3.436616,1.810768,2.514631,0.281010
0.010000,4.854942,1.601116,0.598366,3.454917,1.830112,1.934369,0.293075
0.010000,4.888136,1.611343,0.633100,3.473360,1.844221,1.410898,0.304563
0.010000,4.921390,1.621998,0.668019,3.491896,1.853671,0.945016,0.315472
0.010000,4.954705,1.633064,0.703124,3.510487,1.859035,0.536366,0.325800
0.010000,4.988083,1.644524,0.738415,3.529095,1.860871,0.183666,0.335547
0.010000,5.021527,1.656361,0.773892,3.547692,1.859720,-0.115141,0.344712
0.010000,5.055039,1.668558,0.809554,3.566253,1.856093,-0.362676,0.353298
0.010000,5.088622,1.681097,0.845402,3.584758,1.850473,-0.561996,0.361305
0.010000,5.122279,1.693961,0.881434,3.603191,1.843309,-0.716437,0.368736
0.010000,5.156015,1.707132,0.917649,3.621541,1.835014,-0.829490,0.375594
0.010000,5.189833,1.720592,0.954047,3.639801,1.825966,-0.904742,0.381881
0.010000,5.223738,1.734323,0.990627,3.657966,1.816509,-0.945753,0.387601
0.010000,5.257734,1.748306,1.027387,3.676036,1.806949,-0.956024,0.392756
0.010000,5.291829,1.762525,1.064327,3.694011,1.797559,-0.938955,0.397349
0.010000,5.326026,1.776959,1.101446,3.711897,1.788581,-0.897810,0.401384
0.010000,5.360332,1.791592,1.138743,3.729699,1.780224,-0.835698,0.404862
0.010000,5.394755,1.806405,1.176218,3.747426,1.772668,-0.755579,0.407786
0.010000,5.429300,1.821379,1.213868,3.765087,1.766066,-0.660259,0.410158
0.010000,5.463975,1.836496,1.251695,3.782692,1.760542,-0.552401,0.411980
0.010000,5.498787,1.851737,1.289698,3.800254,1.756196,-0.434533,0.413253
0.010000,5.533745,1.867083,1.327876,3.817785,1.753105,-0.309088,0.413979
0.010000,5.568856,1.882516,1.366229,3.835298,1.751321,-0.178401,0.414157
0.010000,5.604129,1.898015,1.404757,3.852807,1.750874,-0.044748,0.413788
0.010000,5.639572,1.913562,1.443460,3.870325,1.751770,0.089627,0.412872
0.010000,5.675195,1.929138,1.482339,3.887865,1.753995,0.222496,0.411407
0.010000,5.711006,1.944721,1.521393,3.905440,1.757511,0.351603,0.409393
0.010000,5.747014,1.960292,1.560624,3.923062,1.762258,0.474658,0.406829
0.010000,5.783228,1.975831,1.600031,3.940744,1.768151,0.589293,0.403712
0.010000,5.819659,1.991316,1.639616,3.958495,1.775081,0.693045,0.400040
0.010000,5.856314,2.006726,1.679379,3.976324,1.782915,0.783348,0.395811
