dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.004781,0.000017,0.004801,0.960250,96.025000,9602.500000,0.007194
0.010000,0.019182,0.000281,0.019205,1.920500,96.025000,0.000000,0.029602
0.010000,0.043158,0.001463,0.043211,2.880750,96.025000,-0.000000,0.069522
0.010000,0.076594,0.004810,0.076820,3.841000,96.025000,0.000000,0.131161
0.010000,0.114441,0.011304,0.115230,3.841000,0.000000,-9602.500000,0.210272
0.010000,0.151609,0.020942,0.153640,3.841000,0.000000,0.000000,0.298608
0.010000,0.187726,0.033972,0.192050,3.841000,0.000000,0.000000,0.395131
0.010000,0.222364,0.050532,0.230460,3.841000,0.000000,0.000000,0.497461
0.010000,0.255100,0.070589,0.268870,3.841000,0.000000,0.000000,0.601958
0.010000,0.285583,0.093931,0.307280,3.841000,0.000000,0.000000,0.704336
0.010000,0.313595,0.120190,0.345690,3.841000,0.000000,0.000000,0.800598
0.010000,0.339079,0.148912,0.384100,3.841000,0.000000,0.000000,0.887840
0.010000,0.362125,0.179628,0.422510,3.841000,0.000000,0.000000,0.964527
0.010000,0.382929,0.211908,0.460920,3.841000,0.000000,0.000000,1.030312
0.010000,0.401744,0.245389,0.499330,3.841000,0.000000,0.000000,1.085631
0.010000,0.418848,0.279777,0.537740,3.841000,0.000000,0.000000,1.131310
0.010000,0.434520,0.314842,0.576150,3.841000,0.000000,0.000000,1.168291
0.010000,0.449027,0.350405,0.614560,3.841000,0.000000,0.000000,1.197466
0.010000,0.462619,0.386329,0.652970,3.841000,0.000000,0.000000,1.219597
0.010000,0.475531,0.422504,0.691380,3.841000,0.000000,0.000000,1.235288
0.010000,0.487983,0.458839,0.729790,3.841000,0.000000,0.000000,1.244976
0.010000,0.500189,0.495258,0.768200,3.841000,0.000000,0.000000,1.248930
0.010000,0.512353,0.531691,0.806610,3.841000,0.000000,0.000000,1.247263
0.010000,0.524680,0.568069,0.845020,3.841000,0.000000,0.000000,1.239927
0.010000,0.537379,0.604318,0.883430,3.841000,0.000000,0.000000,1.226716
0.010000,0.550668,0.640356,0.921840,3.841000,0.000000,0.000000,1.207262
0.010000,0.564774,0.676081,0.960250,3.841000,0.000000,0.000000,1.181031
0.010000,0.579941,0.711367,0.998660,3.841000,0.000000,0.000000,1.147321
0.010000,0.596431,0.746054,1.037070,3.841000,0.000000,0.000000,1.105286
0.010000,0.614517,0.779935,1.075480,3.841000,0.000000,0.000000,1.053992
0.010000,0.634481,0.812742,1.113890,3.841000,0.000000,0.000000,0.992539
0.010000,0.656589,0.844142,1.152300,3.841000,0.000000,0.000000,0.920290
0.010000,0.681066,0.873728,1.190710,3.841000,0.000000,0.000000,0.837224
0.010000,0.708049,0.901044,1.229120,3.841000,0.000000,0.000000,0.744350
0.010000,0.737546,0.925622,1.267530,3.841000,0.000000,0.000000,0.644022
0.010000,0.769403,0.947048,1.305940,3.841000,0.000000,0.000000,0.539863
0.010000,0.803318,0.965042,1.344350,3.841000,0.000000,0.000000,0.436158
0.010000,0.838887,0.979498,1.382760,3.841000,0.000000,0.000000,0.336912
0.010000,0.875677,0.990488,1.421170,3.841000,0.000000,0.000000,0.245055
0.010000,0.913289,0.998223,1.459580,3.841000,0.000000,0.000000,0.162149
0.010000,0.948550,1.002735,1.495136,3.270108,-57.089231,-5708.923102,0.093720
0.010000,0.976380,1.004663,1.523035,2.309858,-96.025000,-3893.576898,0.045425
0.010000,0.994668,1.005224,1.541333,1.349608,-96.025000,-0.000000,0.016176
0.010000,1.003363,1.005307,1.550028,0.389358,-96.025000,0.000000,0.002915
0.010000,1.005310,1.005310,1.551974,0.000000,-38.935769,5708.923102,0.000000
0.010000,1.005310,1.005310,1.551974,0.000000,0.000000,3893.576898,0.000000
