dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.004799,0.320000,0.004801,0.960250,96.025000,9602.500000,0.000000
0.010000,0.019202,0.320000,0.019205,1.440375,48.012500,-4801.250000,0.000000
0.010000,0.043209,0.320000,0.043211,2.400625,96.025000,4801.250000,0.000000
0.010000,0.076817,0.320000,0.076820,3.360875,96.025000,-0.000000,0.000000
0.010000,0.115227,0.320000,0.115230,3.841000,48.012500,-4801.250000,0.000000
0.010000,0.153638,0.320000,0.153640,3.841000,0.000000,-4801.250000,0.000000
0.010000,0.189689,0.320000,0.189692,3.605156,-23.584375,-2358.437500,0.000000
0.010000,0.218581,0.320000,0.218583,2.889188,-71.596875,-4801.250000,0.000000
0.010000,0.237870,0.320000,0.237873,1.928937,-96.025000,-2442.812500,0.000000
0.010000,0.247557,0.320000,0.247560,0.968687,-96.025000,0.000000,0.000000
0.010000,0.250000,0.320000,0.250002,0.244281,-72.440625,2358.437500,0.000000
0.010000,0.250000,0.320000,0.250002,0.000000,-24.428125,4801.250000,0.000000
