dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.495000,6.708000,0.000005,0.000999,0.099922,9.992196,0.000000
0.010000,0.495000,6.708000,0.000005,0.000000,-0.099922,-19.984391,0.000000
0.010000,0.495032,6.708000,0.000037,0.003223,0.322254,42.217565,0.000000
0.010000,0.495112,6.708000,0.000117,0.007994,0.477122,15.486826,0.000000
0.010000,0.495237,6.708000,0.000242,0.012490,0.449649,-2.747315,0.000000
0.010000,0.495417,6.708000,0.000422,0.017986,0.549571,9.992196,0.000000
0.010000,0.495662,6.708000,0.000667,0.024481,0.649493,9.992196,0.000000
0.010000,0.495981,6.708000,0.000986,0.031975,0.749415,9.992196,0.000000
0.010000,0.496386,6.708000,0.001391,0.040468,0.849337,9.992196,0.000000
0.010000,0.496886,6.708000,0.001891,0.049961,0.949259,9.992196,0.000000
0.010000,0.497490,6.708000,0.002495,0.060453,1.049181,9.992196,0.000000
0.010000,0.498210,6.708000,0.003215,0.071944,1.149102,9.992196,0.000000
0.010000,0.499054,6.708000,0.004059,0.084434,1.249024,9.992196,0.000000
0.010000,0.500033,6.708000,0.005038,0.097924,1.348946,9.992196,0.000000
0.010000,0.501157,6.708000,0.006162,0.112412,1.448868,9.992196,0.000000
0.010000,0.502436,6.708000,0.007441,0.127900,1.548790,9.992196,0.000000
0.010000,0.503880,6.708000,0.008885,0.144387,1.648712,9.992196,0.000000
0.010000,0.505499,6.708000,0.010504,0.161874,1.748634,9.992196,0.000000
0.010000,0.507303,6.708000,0.012308,0.180359,1.848556,9.992196,0.000000
0.010000,0.509301,6.708000,0.014306,0.199844,1.948478,9.992196,0.000000
0.010000,0.511504,6.708000,0.016509,0.220328,2.048400,9.992196,0.000000
0.010000,0.513922,6.708000,0.018927,0.241811,2.148322,9.992196,0.000000
0.010000,0.516565,6.708000,0.021570,0.264294,2.248244,9.992196,0.000000
0.010000,0.519443,6.708000,0.024448,0.287775,2.348166,9.992196,0.000000
0.010000,0.522566,6.708000,0.027571,0.312256,2.448088,9.992196,0.000000
0.010000,0.525943,6.708000,0.030948,0.337736,2.548010,9.992196,0.000000
0.010000,0.529585,6.708000,0.034590,0.364216,2.647932,9.992196,0.000000
0.010000,0.533502,6.708000,0.038507,0.391694,2.747854,9.992196,0.000000
0.010000,0.537704,6.708000,0.042709,0.420172,2.847776,9.992196,0.000000
0.010000,0.542200,6.708000,0.047205,0.449649,2.947698,9.992196,0.000000
0.010000,0.547002,6.708000,0.052007,0.480125,3.047620,9.992196,0.000000
0.010000,0.552118,6.708000,0.057123,0.511600,3.147542,9.992196,0.000000
0.010000,0.557558,6.708000,0.062563,0.544075,3.247464,9.992196,0.000000
0.010000,0.563334,6.708000,0.068339,0.577549,3.347386,9.992196,0.000000
0.010000,0.569454,6.708000,0.074459,0.612022,3.447307,9.992196,0.000000
0.010000,0.575929,6.708000,0.080934,0.647494,3.547229,9.992196,0.000000
0.010000,0.582769,6.708000,0.087774,0.683966,3.647151,9.992196,0.000000
0.010000,0.589983,6.708000,0.094988,0.721437,3.747073,9.992196,0.000000
0.010000,0.597582,6.708000,0.102587,0.759906,3.846995,9.992196,0.000000
0.010000,0.605576,6.708000,0.110581,0.799376,3.946917,9.992196,0.000000
0.010000,0.613974,6.708000,0.118979,0.839844,4.046839,9.992196,0.000000
0.010000,0.622787,6.708000,0.127792,0.881312,4.146761,9.992196,0.000000
0.010000,0.632025,6.708000,0.137030,0.923778,4.246683,9.992196,0.000000
0.010000,0.641698,6.708000,0.146703,0.967245,4.346605,9.992196,0.000000
0.010000,0.651815,6.708000,0.156820,1.011710,4.446527,9.992196,0.000000
0.010000,0.662387,6.708000,0.167392,1.057174,4.546449,9.992196,0.000000
0.010000,0.673423,6.708000,0.178428,1.103638,4.646371,9.992196,0.000000
0.010000,0.684934,6.708000,0.189939,1.151101,4.746293,9.992196,0.000000
0.010000,0.696930,6.708000,0.201935,1.199563,4.846215,9.992196,0.000000
0.010000,0.709420,6.708000,0.214425,1.249024,4.946137,9.992196,0.000000
0.010000,0.722415,6.708000,0.227420,1.299485,5.046059,9.992196,0.000000
0.010000,0.735924,6.708000,0.240929,1.350945,5.145981,9.992196,0.000000
