position,velocity,dt
0.004801,0.96025,10
0.02113,1.632882,10
0.048401,2.727043,10
0.086698,3.82977,10
0.130641,4.394282,10
0.174774,4.413284,10
0.219101,4.432683,10
0.263625,4.452412,10
0.308349,4.472393,10
0.353274,4.492532,10
0.398401,4.512719,10
0.44373,4.532828,10
0.489257,4.552715,10
0.534979,4.572221,10
0.580891,4.59117,10
0.626984,4.609373,10
0.673251,4.626631,10
0.719678,4.642737,10
0.766253,4.65748,10
0.812959,4.670651,10
0.85978,4.682049,10
0.906695,4.69149,10
0.953683,4.698804,10
1.000721,4.703854,10
1.047787,4.706528,10
1.094854,4.706756,10
1.141899,4.704503,10
1.188897,4.699775,10
1.235823,4.692618,10
1.282654,4.683118,10
1.329368,4.671393,10
1.375944,4.657592,10
1.422363,4.641891,10
1.468608,4.624481,10
1.514664,4.605567,10
1.560517,4.58536,10
1.606158,4.564071,10
1.651577,4.541904,10
1.696767,4.519059,10
1.741725,4.495718,10
1.786445,4.472054,10
1.830927,4.448219,10
1.875171,4.424351,10
1.919177,4.400569,10
1.962946,4.376975,10
2.006483,4.353657,10
2.04979,4.330686,10
2.092871,4.308118,10
2.135731,4.285998,10
2.178374,4.26436,10
2.220807,4.243226,10
2.263033,4.222611,10
2.305058,4.202521,10
2.346888,4.182957,10
2.388527,4.163913,10
2.429981,4.14538,10
2.471254,4.127345,10
2.512352,4.10979,10
2.553279,4.092697,10
2.594039,4.076046,10
2.634637,4.059813,10
2.675077,4.043975,10
2.715362,4.028508,10
2.755496,4.013386,10
2.795482,3.998586,10
2.835323,3.98408,10
2.875021,3.969843,10
2.91458,3.955849,10
2.954,3.942074,10
2.993285,3.928491,10
3.032436,3.915074,10
3.071454,3.901799,10
3.110341,3.88864,10
3.149096,3.875573,10
3.187722,3.862571,10
3.226218,3.849611,10
3.264585,3.836667,10
3.302822,3.823715,10
3.340929,3.81073,10
3.378906,3.797687,10
3.416752,3.78456,10
3.454465,3.771326,10
3.492044,3.757958,10
3.529489,3.744432,10
3.566796,3.730722,10
3.603964,3.716802,10
3.640991,3.702648,10
3.677873,3.688232,10
3.714608,3.67353,10
3.751193,3.658516,10
3.787625,3.643164,10
3.823899,3.62745,10
3.860013,3.611348,10
3.895961,3.594834,10
3.93174,3.577887,10
3.967345,3.560484,10
4.002771,3.542607,10
4.038013,3.524236,10
4.073067,3.505359,10
4.107927,3.485963,10
4.142587,3.466043,10
4.177043,3.445596,10
4.211289,3.424627,10
4.245321,3.403147,10
4.279133,3.381177,10
4.31272,3.358747,10
4.346079,3.335896,10
4.379206,3.312678,10
4.412097,3.289159,10
4.444751,3.26542,10
4.477167,3.241559,10
4.509344,3.21769,10
4.541283,3.193943,10
4.572988,3.170468,10
4.604462,3.147429,10
4.635712,3.125007,10
4.666746,3.103396,10
4.697574,3.082798,10
4.728209,3.063424,10
4.758663,3.045485,10
4.788955,3.029189,10
4.819103,3.014733,10
4.849126,3.002298,10
4.879046,2.992042,10
4.908887,2.984095,10
4.938673,2.978555,10
4.968427,2.975479,10
4.998176,2.974889,10
5.027944,2.976762,10
5.057754,2.981039,10
5.087631,2.987623,10
5.117594,2.996383,10
5.147666,3.00716,10
5.177864,3.019773,10
5.208204,3.034026,10
5.238701,3.049713,10
5.269367,3.066621,10
5.300213,3.084544,10
5.331245,3.103277,10
5.362472,3.122627,10
5.393896,3.142415,10
5.425521,3.162476,10
5.457347,3.182661,10
5.489376,3.202837,10
5.521605,3.222889,10
5.554032,3.242719,10
5.586654,3.262241,10
5.619468,3.281388,10
5.649692,3.022431,10
5.673129,2.343629,10
5.688327,1.519862,10
5.695226,0.689913,10
5.696595,0.136885,10
5.696595,0,10
