dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.498996,3.659995,0.004801,0.960250,96.025000,9602.500000,6.280851
0.010000,0.511115,3.659924,0.016920,1.211911,25.166085,-7085.891532,6.273712
0.010000,0.531257,3.659612,0.037065,2.014416,80.250489,5508.440453,6.261643
0.010000,0.559332,3.658766,0.065152,2.808798,79.438232,-81.225694,6.244392
0.010000,0.591233,3.657206,0.097092,3.193925,38.512699,-4092.553278,6.224172
0.010000,0.622926,3.655005,0.128862,3.176982,-1.694311,-4020.701093,6.203424
0.010000,0.654402,3.652154,0.160466,3.160423,-1.655876,3.843589,6.182157
0.010000,0.685649,3.648644,0.191910,3.144388,-1.603555,5.232021,6.160390
0.010000,0.716659,3.644468,0.223200,3.129023,-1.536436,6.711949,6.138143
0.010000,0.747424,3.639618,0.254345,3.114485,-1.453795,8.264045,6.115441
0.010000,0.777937,3.634089,0.285354,3.100934,-1.355160,9.863499,6.092317
0.010000,0.808190,3.627875,0.316239,3.088530,-1.240361,11.479969,6.068804
0.010000,0.838180,3.620970,0.347014,3.077434,-1.109582,13.077838,6.044945
0.010000,0.867902,3.613372,0.377692,3.067800,-0.963396,14.618583,6.020785
0.010000,0.897354,3.605075,0.408289,3.059772,-0.802793,16.060364,5.996374
0.010000,0.926533,3.596078,0.438824,3.053481,-0.629178,17.361519,5.971766
0.010000,0.955439,3.586377,0.469315,3.049037,-0.444366,18.481153,5.947020
0.010000,0.984072,3.575972,0.499780,3.046532,-0.250540,19.382651,5.922195
0.010000,1.012433,3.564860,0.530240,3.046030,-0.050191,20.034841,5.897355
0.010000,1.040524,3.553042,0.560716,3.047569,0.153956,20.414708,5.872562
0.010000,1.068347,3.540517,0.591228,3.051160,0.359039,20.508332,5.847882
0.010000,1.095904,3.527288,0.621795,3.056781,0.562162,20.312263,5.823378
0.010000,1.123198,3.513356,0.652439,3.064386,0.760498,19.833658,5.799111
0.010000,1.150231,3.498725,0.683178,3.073900,0.951392,19.089371,5.775142
0.010000,1.177007,3.483398,0.714030,3.085225,1.132449,18.105738,5.751526
0.010000,1.203528,3.467381,0.745013,3.098241,1.301610,16.916046,5.728317
0.010000,1.229797,3.450680,0.776141,3.112813,1.457201,15.559115,5.705563
0.010000,1.255816,3.433304,0.807429,3.128792,1.597966,14.076494,5.683309
0.010000,1.281588,3.415261,0.838889,3.146023,1.723075,12.510850,5.661592
0.010000,1.307115,3.396562,0.870533,3.164344,1.832109,10.903458,5.640449
0.010000,1.332400,3.377217,0.902369,3.183595,1.925037,9.292764,5.619907
0.010000,1.357445,3.357241,0.934405,3.203616,2.002166,7.712947,5.599990
