position,velocity,dt
0.000005,0.000999,10
0.000008,0.000314,10
0.000013,0.000446,10
0.00008,0.006737,10
0.000185,0.010526,10
0.000337,0.015158,10
0.000543,0.020631,10
0.000813,0.026945,10
0.001154,0.034101,10
0.001575,0.042097,10
0.002084,0.050934,10
0.00269,0.06061,10
0.003401,0.071125,10
0.004226,0.082477,10
0.005173,0.094667,10
0.00625,0.107691,10
0.007465,0.12155,10
0.008828,0.136242,10
0.010345,0.151764,10
0.012026,0.168115,10
0.013879,0.185292,10
0.015912,0.203293,10
0.018133,0.222116,10
0.020551,0.241756,10
0.023173,0.262212,10
0.026008,0.283479,10
0.029063,0.305554,10
0.032348,0.328433,10
0.035869,0.352111,10
0.039635,0.376583,10
0.043653,0.401845,10
0.047932,0.427891,10
0.052479,0.454716,10
0.057302,0.482313,10
0.062409,0.510676,10
0.067807,0.539798,10
0.073504,0.569673,10
0.079507,0.600293,10
0.085823,0.631651,10
0.092461,0.663738,10
0.099426,0.696548,10
0.106727,0.73007,10
0.11437,0.764298,10
0.122362,0.799221,10
0.13071,0.834833,10
0.139421,0.871124,10
0.148502,0.908085,10
0.157959,0.945709,10
0.167799,0.983988,10
0.178028,1.022914,10
0.188653,1.062481,10
0.19968,1.102683,10
0.211115,1.143516,10
0.222965,1.184976,10
0.235236,1.227061,10
0.247933,1.269773,10
0.261065,1.313114,10
0.274635,1.357091,10
0.288653,1.401712,10
0.303122,1.44699,10
0.318052,1.492942,10
0.333448,1.539591,10
0.349309,1.586165,10
0.365628,1.631904,10
0.382397,1.676859,10
0.399608,1.721083,10
0.417254,1.764635,10
0.43533,1.807579,10
0.45383,1.849981,10
0.472749,1.891913,10
0.492083,1.933448,10
0.51183,1.97466,10
0.531986,2.015625,10
0.55255,2.056419,10
0.573522,2.097114,10
0.594899,2.13778,10
0.616684,2.178483,10
0.638877,2.219283,10
0.661479,2.26023,10
0.684493,2.30137,10
0.70792,2.342736,10
0.731764,2.384351,10
0.756026,2.426229,10
0.78071,2.468371,10
0.805818,2.510767,10
0.831352,2.553396,10
0.857314,2.596226,10
0.883706,2.639216,10
0.910529,2.682316,10
0.937784,2.725468,10
0.96547,2.768607,10
0.993587,2.811664,10
1.022132,2.854567,10
1.051105,2.89724,10
1.080501,2.939608,10
1.110317,2.981593,10
