dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.494992,3.660000,0.000005,0.000999,0.099898,9.989781,6.283162
0.010000,0.494997,3.660000,0.000010,0.000482,-0.051721,-15.161896,6.283177
0.010000,0.495042,3.660000,0.000054,0.004467,0.398474,45.019522,0.000025
0.010000,0.495141,3.660000,0.000154,0.009919,0.545253,14.677881,0.000086
0.010000,0.495296,3.660000,0.000309,0.015499,0.557973,1.272028,0.000180
0.010000,0.495519,3.660000,0.000532,0.022319,0.682004,12.403066,0.000315
0.010000,0.495823,3.660000,0.000836,0.030379,0.806068,12.406423,0.000500
0.010000,0.496220,3.660000,0.001232,0.039681,0.930177,12.410913,0.000741
0.010000,0.496722,3.660001,0.001735,0.050225,1.054347,12.417025,0.001046
0.010000,0.497342,3.660002,0.002355,0.062011,1.178593,12.424595,0.001423
0.010000,0.498093,3.660003,0.003105,0.075040,1.302937,12.434320,0.001879
0.010000,0.498986,3.660005,0.003998,0.089314,1.427398,12.446163,0.002423
0.010000,0.500034,3.660008,0.005047,0.104834,1.552000,12.460189,0.003061
0.010000,0.501250,3.660012,0.006263,0.121602,1.676765,12.476494,0.003802
0.010000,0.502646,3.660018,0.007659,0.139619,1.801725,12.496025,0.004653
0.010000,0.504235,3.660026,0.009248,0.158888,1.926907,12.518208,0.005622
0.010000,0.506029,3.660037,0.011042,0.179411,2.052340,12.543259,0.006718
0.010000,0.508041,3.660052,0.013054,0.201192,2.178058,12.571791,0.007947
0.010000,0.510283,3.660071,0.015296,0.224233,2.304094,12.603613,0.009320
0.010000,0.512769,3.660096,0.017782,0.248538,2.430485,12.639055,0.010843
0.010000,0.515510,3.660128,0.020523,0.274110,2.557264,12.677922,0.012525
0.010000,0.518519,3.660169,0.023532,0.300955,2.684474,12.721017,0.014376
0.010000,0.521809,3.660219,0.026823,0.329077,2.812147,12.767329,0.016402
0.010000,0.525393,3.660282,0.030408,0.358480,2.940328,12.818115,0.018614
0.010000,0.529284,3.660359,0.034299,0.389170,3.069056,12.872729,0.021020
0.010000,0.533495,3.660453,0.038511,0.421154,3.198365,12.930905,0.023629
0.010000,0.538038,3.660567,0.043055,0.454437,3.328300,12.993512,0.026451
0.010000,0.542926,3.660704,0.047946,0.489026,3.458894,13.059439,0.029496
0.010000,0.548173,3.660867,0.053195,0.524928,3.590189,13.129458,0.032773
0.010000,0.553791,3.661061,0.058816,0.562150,3.722210,13.202152,0.036292
0.010000,0.559794,3.661291,0.064823,0.600700,3.854997,13.278636,0.040063
0.010000,0.566194,3.661560,0.071229,0.640586,3.988571,13.357395,0.044098
0.010000,0.573005,3.661875,0.078047,0.681815,4.122952,13.438087,0.048406
0.010000,0.580239,3.662242,0.085291,0.724397,4.258158,13.520612,0.053000
0.010000,0.587911,3.662668,0.092975,0.768339,4.394194,13.603617,0.057889
0.010000,0.596033,3.663160,0.101111,0.813649,4.531054,13.686050,0.063087
0.010000,0.604617,3.663726,0.109715,0.860337,4.668728,13.767325,0.068603
0.010000,0.613678,3.664375,0.118799,0.908408,4.807182,13.845472,0.074452
0.010000,0.623228,3.665117,0.128377,0.957872,4.946371,13.918892,0.080644
0.010000,0.633280,3.665963,0.138465,1.008734,5.086232,13.986079,0.087193
0.010000,0.643846,3.666923,0.149075,1.061001,5.226675,14.044295,0.094110
0.010000,0.654940,3.668011,0.160222,1.114677,5.367585,14.091042,0.101409
0.010000,0.666573,3.669240,0.171919,1.169765,5.508820,14.123415,0.109104
0.010000,0.678757,3.670625,0.184182,1.226267,5.650200,14.138002,0.117206
0.010000,0.691504,3.672181,0.197024,1.284182,5.791506,14.130640,0.125728
0.010000,0.704826,3.673925,0.210459,1.343507,5.932481,14.097495,0.134684
0.010000,0.718732,3.675876,0.224501,1.404235,6.072808,14.032740,0.144086
0.010000,0.733227,3.678052,0.239158,1.465720,6.148451,7.564235,0.153943
0.010000,0.748307,3.680472,0.254431,1.527306,6.158618,1.016712,0.164256
0.010000,0.763968,3.683154,0.270321,1.588969,6.166328,0.770996,0.175030
0.010000,0.780207,3.686120,0.286828,1.650680,6.171108,0.478040,0.186264
0.010000,0.797016,3.689389,0.303952,1.712405,6.172457,0.134858,0.197961
0.010000,0.814389,3.692984,0.321693,1.774103,6.169842,-0.261442,0.210118
0.010000,0.832318,3.696926,0.340050,1.835730,6.162710,-0.713198,0.222734
0.010000,0.850794,3.701238,0.359023,1.897235,6.150496,-1.221405,0.235804
0.010000,0.869806,3.705942,0.378608,1.958561,6.132618,-1.787861,0.249324
0.010000,0.889343,3.711062,0.398805,2.019646,6.108506,-2.411212,0.263286
0.010000,0.909390,3.716621,0.419609,2.080422,6.077600,-3.090546,0.277680
0.010000,0.929935,3.722642,0.441017,2.140816,6.039374,-3.822634,0.292493
0.010000,0.950958,3.729148,0.463025,2.200750,5.993344,-4.602978,0.307713
0.010000,0.972444,3.736161,0.485626,2.260141,5.939091,-5.425248,0.323321
0.010000,0.994372,3.743704,0.508815,2.318903,5.876279,-6.281277,0.339299
0.010000,1.016715,3.751796,0.532578,2.376310,5.740686,-13.559296,0.355618
0.010000,1.039439,3.760451,0.556894,2.431636,5.532625,-20.806101,0.372247
0.010000,1.062508,3.769684,0.581742,2.484803,5.316619,-21.600602,0.389147
0.010000,1.085886,3.779506,0.607100,2.535735,5.093235,-22.338323,0.406282
0.010000,1.109536,3.789925,0.632944,2.584367,4.863219,-23.001667,0.423609
0.010000,1.133422,3.800947,0.659250,2.630642,4.627472,-23.574680,0.441087
0.010000,1.157506,3.812578,0.685995,2.674512,4.387049,-24.042294,0.458672
0.010000,1.181751,3.824818,0.713154,2.715944,4.143127,-24.392155,0.476318
0.010000,1.206120,3.837666,0.740704,2.754913,3.896981,-24.614611,0.493980
0.010000,1.230580,3.851118,0.768618,2.791413,3.649948,-24.703382,0.511612
0.010000,1.255094,3.865167,0.796872,2.825447,3.403390,-24.655721,0.529168
0.010000,1.279629,3.879805,0.825443,2.857033,3.158663,-24.472778,0.546603
0.010000,1.304155,3.895020,0.854305,2.886204,2.917070,-24.159254,0.563873
0.010000,1.328641,3.910799,0.883435,2.913003,2.679836,-23.723434,0.580934
0.010000,1.353060,3.927127,0.912809,2.937483,2.448070,-23.176585,0.597746
0.010000,1.377386,3.943986,0.942407,2.959711,2.222745,-22.532523,0.614269
0.010000,1.401596,3.961358,0.972204,2.979757,2.004675,-21.806945,0.630466
0.010000,1.425669,3.979222,1.002181,2.997703,1.794507,-21.016782,0.646303
0.010000,1.449586,3.997557,1.032317,3.013630,1.592713,-20.179396,0.661748
0.010000,1.473330,4.016342,1.062594,3.027626,1.399591,-19.312227,0.676772
0.010000,1.496888,4.035553,1.092991,3.039778,1.215274,-18.431733,0.691348
0.010000,1.520247,4.055166,1.123493,3.050176,1.039738,-17.553535,0.705453
0.010000,1.543399,4.075158,1.154082,3.058904,0.872824,-16.691397,0.719066
