dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.495007,3.660000,0.000005,0.000983,0.098295,9.829456,0.000021
0.010000,0.495002,3.660000,0.000010,0.000476,-0.050689,-14.898345,0.000006
0.010000,0.495027,3.660000,0.000035,0.002498,0.202203,25.289144,6.283158
0.010000,0.495087,3.660000,0.000094,0.005959,0.346116,14.391375,6.283099
0.010000,0.495180,3.660000,0.000187,0.009311,0.335188,-1.092798,6.283006
0.010000,0.495314,3.660000,0.000321,0.013408,0.409650,7.446202,6.282872
0.010000,0.495496,3.660000,0.000504,0.018249,0.484089,7.443835,6.282690
0.010000,0.495735,3.660000,0.000742,0.023833,0.558498,7.440884,6.282451
0.010000,0.496036,3.659999,0.001044,0.030162,0.632865,7.436733,6.282150
0.010000,0.496409,3.659999,0.001416,0.037234,0.707180,7.431527,6.281778
0.010000,0.496859,3.659998,0.001867,0.045048,0.781431,7.425072,6.281327
0.010000,0.497395,3.659997,0.002403,0.053604,0.855603,7.417167,6.280791
0.010000,0.498024,3.659995,0.003032,0.062901,0.929679,7.407681,6.280161
0.010000,0.498754,3.659993,0.003761,0.072938,1.003646,7.396688,6.279430
0.010000,0.499591,3.659989,0.004598,0.083712,1.077485,7.383879,6.278590
0.010000,0.500543,3.659985,0.005550,0.095224,1.151177,7.369180,6.277634
0.010000,0.501618,3.659978,0.006625,0.107471,1.224703,7.352597,6.276554
0.010000,0.502822,3.659969,0.007830,0.120452,1.298043,7.334005,6.275342
0.010000,0.504164,3.659958,0.009171,0.134163,1.371176,7.313361,6.273990
0.010000,0.505650,3.659943,0.010657,0.148604,1.444082,7.290568,6.272490
0.010000,0.507287,3.659924,0.012295,0.163772,1.516740,7.265762,6.270835
0.010000,0.509084,3.659900,0.014092,0.179663,1.589128,7.238844,6.269016
0.010000,0.511046,3.659871,0.016054,0.196275,1.661225,7.209706,6.267025
0.010000,0.513182,3.659834,0.018191,0.213605,1.733014,7.178828,6.264854
0.010000,0.515498,3.659789,0.020507,0.231650,1.804474,7.146025,6.262494
0.010000,0.518001,3.659734,0.023011,0.250406,1.875588,7.111376,6.259937
0.010000,0.520699,3.659667,0.025710,0.269869,1.946343,7.075575,6.257174
0.010000,0.523599,3.659587,0.028610,0.290037,2.016724,7.038111,6.254196
0.010000,0.526706,3.659492,0.031719,0.310904,2.086726,7.000176,6.250995
0.010000,0.530029,3.659380,0.035044,0.332467,2.156342,6.961568,6.247562
0.010000,0.533574,3.659247,0.038591,0.354723,2.225572,6.923049,6.243888
0.010000,0.537347,3.659091,0.042368,0.377667,2.294424,6.885172,6.239963
0.010000,0.541356,3.658909,0.046381,0.401296,2.362910,6.848645,6.235778
0.010000,0.545607,3.658698,0.050637,0.425607,2.431051,6.814089,6.231324
0.010000,0.550106,3.658454,0.055143,0.450596,2.498880,6.782860,6.226591
0.010000,0.554860,3.658173,0.059905,0.476260,2.566437,6.755707,6.221569
0.010000,0.559876,3.657850,0.064931,0.502598,2.633777,6.733954,6.216249
0.010000,0.565159,3.657481,0.070227,0.529607,2.700968,6.719179,6.210622
0.010000,0.570716,3.657060,0.075800,0.557288,2.768097,6.712894,6.204677
0.010000,0.576553,3.656583,0.081657,0.585641,2.835265,6.716809,6.198405
0.010000,0.582676,3.656042,0.087803,0.614667,2.902598,6.733290,6.191795
0.010000,0.589091,3.655431,0.094247,0.644369,2.970242,6.764398,6.184840
0.010000,0.595803,3.654744,0.100995,0.674753,3.038369,6.812654,6.177528
0.010000,0.602819,3.653973,0.108053,0.705825,3.107179,6.880969,6.169851
0.010000,0.610144,3.653109,0.115429,0.737594,3.176900,6.972189,6.161800
0.010000,0.617784,3.652145,0.123130,0.770072,3.247799,7.089835,6.153366
0.010000,0.625741,3.651070,0.131159,0.802910,3.283819,3.602062,6.144545
0.010000,0.634013,3.649877,0.139516,0.835764,3.285421,0.160200,6.135338
0.010000,0.642599,3.648556,0.148203,0.868658,3.289343,0.392184,6.125746
0.010000,0.651496,3.647098,0.157219,0.901617,3.295900,0.655656,6.115771
