position,velocity,dt
0.004801,0.96025,10
0.019205,1.440375,10
0.043211,2.400625,10
0.07682,3.360875,10
0.11523,3.841,10
0.15364,3.841,10
0.19205,3.841,10
0.23046,3.841,10
0.26887,3.841,10
0.30728,3.841,10
0.34569,3.841,10
0.3841,3.841,10
0.42251,3.841,10
0.46092,3.841,10
0.49933,3.841,10
0.53774,3.841,10
0.57615,3.841,10
0.61456,3.841,10
0.65297,3.841,10
0.69138,3.841,10
0.72979,3.841,10
0.7682,3.841,10
0.80661,3.841,10
0.84502,3.841,10
0.88343,3.841,10
0.92184,3.841,10
0.96025,3.841,10
0.99866,3.841,10
1.03707,3.841,10
1.07548,3.841,10
1.11389,3.841,10
1.1523,3.841,10
1.19071,3.841,10
1.22912,3.841,10
1.26753,3.841,10
1.30594,3.841,10
1.34435,3.841,10
1.38276,3.841,10
1.42117,3.841,10
1.45958,3.841,10
1.49799,3.841,10
1.5364,3.841,10
1.57481,3.841,10
1.61322,3.841,10
1.65163,3.841,10
1.69004,3.841,10
1.72845,3.841,10
1.76686,3.841,10
1.80527,3.841,10
1.84368,3.841,10
1.88209,3.841,10
1.9205,3.841,10
1.95891,3.841,10
1.99732,3.841,10
2.03573,3.841,10
2.07414,3.841,10
2.11255,3.841,10
2.15096,3.841,10
2.18937,3.841,10
2.22778,3.841,10
2.26619,3.841,10
2.3046,3.841,10
2.34301,3.841,10
2.38142,3.841,10
2.41983,3.841,10
2.45824,3.841,10
2.49665,3.841,10
2.53506,3.841,10
2.57347,3.841,10
2.61188,3.841,10
2.65029,3.841,10
2.6887,3.841,10
2.72711,3.841,10
2.76552,3.841,10
2.80393,3.841,10
2.84234,3.841,10
2.88075,3.841,10
2.91916,3.841,10
2.95757,3.841,10
2.99598,3.841,10
3.03439,3.841,10
3.0728,3.841,10
3.11121,3.841,10
3.14962,3.841,10
3.18803,3.841,10
3.22644,3.841,10
3.26485,3.841,10
3.30326,3.841,10
3.34167,3.841,10
3.38008,3.841,10
3.41849,3.841,10
3.4569,3.841,10
3.49531,3.841,10
3.53372,3.841,10
3.57213,3.841,10
3.61054,3.841,10
3.64895,3.841,10
3.68736,3.841,10
3.72577,3.841,10
3.761172,3.540227,10
3.788766,2.759329,10
3.806756,1.799079,10
3.815145,0.838829,10
3.816938,0.179352,10
3.816938,0,10
