dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.495000,0.866000,0.000005,0.000998,0.099801,9.980085,0.000000
0.010000,0.495000,0.866000,0.000005,0.000000,-0.099801,-19.960169,0.000000
0.010000,0.495039,0.866000,0.000044,0.003925,0.392506,49.230676,0.000000
0.010000,0.495119,0.866000,0.000124,0.007984,0.405901,1.339493,0.000000
0.010000,0.495244,0.866000,0.000249,0.012475,0.449104,4.320296,0.000000
0.010000,0.495423,0.866000,0.000428,0.017964,0.548905,9.980085,0.000000
0.010000,0.495668,0.866000,0.000673,0.024451,0.648705,9.980085,0.000000
0.010000,0.495987,0.866000,0.000992,0.031936,0.748506,9.980085,0.000000
0.010000,0.496392,0.866000,0.001397,0.040419,0.848307,9.980085,0.000000
0.010000,0.496891,0.866000,0.001896,0.049900,0.948108,9.980085,0.000000
0.010000,0.497494,0.866000,0.002499,0.060380,1.047909,9.980085,0.000000
0.010000,0.498213,0.866000,0.003218,0.071857,1.147710,9.980085,0.000000
0.010000,0.499056,0.866000,0.004061,0.084332,1.247511,9.980085,0.000000
0.010000,0.500034,0.866000,0.005039,0.097805,1.347311,9.980085,0.000000
0.010000,0.501157,0.866000,0.006162,0.112276,1.447112,9.980085,0.000000
0.010000,0.502434,0.866000,0.007439,0.127745,1.546913,9.980085,0.000000
0.010000,0.503877,0.866000,0.008882,0.144212,1.646714,9.980085,0.000000
0.010000,0.505493,0.866000,0.010498,0.161677,1.746515,9.980085,0.000000
0.010000,0.507295,0.866000,0.012300,0.180141,1.846316,9.980085,0.000000
0.010000,0.509291,0.866000,0.014296,0.199602,1.946116,9.980085,0.000000
0.010000,0.511491,0.866000,0.016496,0.220061,2.045917,9.980085,0.000000
0.010000,0.513907,0.866000,0.018912,0.241518,2.145718,9.980085,0.000000
0.010000,0.516546,0.866000,0.021551,0.263973,2.245519,9.980085,0.000000
0.010000,0.519421,0.866000,0.024426,0.287426,2.345320,9.980085,0.000000
0.010000,0.522539,0.866000,0.027544,0.311878,2.445121,9.980085,0.000000
0.010000,0.525913,0.866000,0.030918,0.337327,2.544922,9.980085,0.000000
0.010000,0.529550,0.866000,0.034555,0.363774,2.644722,9.980085,0.000000
0.010000,0.533463,0.866000,0.038468,0.391219,2.744523,9.980085,0.000000
0.010000,0.537659,0.866000,0.042664,0.419663,2.844324,9.980085,0.000000
0.010000,0.542150,0.866000,0.047155,0.449104,2.944125,9.980085,0.000000
