dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.271619,7.587998,0.004801,0.960250,96.025000,9602.500000,6.282465
0.010000,4.285303,7.587973,0.018485,1.368356,40.810559,-5521.444063,6.280214
0.010000,4.308089,7.587862,0.041271,2.278637,91.028111,5021.755133,6.276402
0.010000,4.339946,7.587559,0.073130,3.185855,90.721812,-30.629894,6.270933
0.010000,4.376288,7.586998,0.109476,3.634669,44.881397,-4584.041454,6.264485
0.010000,4.412555,7.586199,0.145752,3.627608,-0.706071,-4558.746778,6.257817
0.010000,4.448742,7.585157,0.181954,3.620176,-0.743165,-3.709429,6.250916
0.010000,4.484843,7.583863,0.218078,3.612348,-0.782819,-3.965389,6.243771
0.010000,4.520850,7.582310,0.254119,3.604096,-0.825189,-4.237014,6.236368
0.010000,4.556758,7.580491,0.290073,3.595391,-0.870539,-4.535030,6.228693
0.010000,4.592559,7.578396,0.325935,3.586200,-0.919098,-4.855926,6.220731
0.010000,4.628244,7.576017,0.361699,3.576489,-0.971124,-5.202540,6.212465
0.010000,4.663806,7.573346,0.397362,3.566220,-1.026905,-5.578129,6.203879
0.010000,4.699235,7.570372,0.432915,3.555352,-1.086754,-5.984890,6.194953
0.010000,4.734521,7.567087,0.468354,3.543842,-1.150980,-6.422627,6.185667
0.010000,4.769653,7.563479,0.503670,3.531643,-1.219971,-6.899038,6.176000
0.010000,4.804619,7.559540,0.538857,3.518702,-1.294080,-7.410915,6.165928
0.010000,4.839406,7.555259,0.573907,3.504965,-1.373724,-7.964384,6.155428
0.010000,4.874000,7.550623,0.608810,3.490371,-1.459331,-8.560777,6.144471
0.010000,4.908387,7.545623,0.643559,3.474858,-1.551367,-9.203546,6.133030
0.010000,4.942550,7.540247,0.678143,3.458355,-1.650268,-9.890122,6.121073
0.010000,4.976472,7.534483,0.712550,3.440789,-1.756568,-10.630006,6.108567
0.010000,5.010133,7.528320,0.746771,3.422082,-1.870716,-11.414764,6.095477
0.010000,5.043513,7.521744,0.780793,3.402150,-1.993201,-12.248545,6.081763
0.010000,5.076590,7.514744,0.814602,3.380905,-2.124499,-13.129789,6.067386
0.010000,5.109339,7.507308,0.848184,3.358255,-2.265003,-14.050383,6.052301
0.010000,5.141734,7.499424,0.881525,3.334105,-2.415051,-15.004830,6.036462
0.010000,5.173748,7.491080,0.914609,3.308356,-2.574860,-15.980876,6.019818
0.010000,5.205351,7.482265,0.947418,3.280911,-2.744496,-16.963617,6.002317
0.010000,5.236510,7.472967,0.979935,3.251674,-2.923737,-17.924078,5.983902
0.010000,5.267191,7.463177,1.012140,3.220552,-3.112134,-18.839731,5.964514
0.010000,5.297359,7.452885,1.044015,3.187465,-3.308715,-19.658022,5.944093
0.010000,5.326974,7.442084,1.075538,3.152345,-3.512043,-20.332884,5.922574
0.010000,5.355997,7.430766,1.106690,3.115145,-3.719938,-20.789429,5.899894
0.010000,5.384385,7.418926,1.137448,3.075851,-3.929395,-20.945780,5.875985
0.010000,5.412097,7.406562,1.167793,3.034488,-4.136305,-20.690973,5.850784
0.010000,5.439088,7.393672,1.197705,2.991135,-4.335363,-19.905786,5.824228
0.010000,5.465316,7.380257,1.227164,2.945937,-4.519778,-18.441495,5.796261
0.010000,5.490738,7.366321,1.256155,2.899125,-4.681217,-16.143893,5.766830
0.010000,5.515313,7.351867,1.284666,2.851028,-4.809652,-12.843528,5.735897
0.010000,5.539004,7.336904,1.312686,2.802093,-4.893481,-8.382870,5.703435
0.010000,5.561778,7.321438,1.340215,2.752896,-4.919759,-2.627849,5.669436
0.010000,5.583607,7.305477,1.367257,2.704149,-4.874697,4.506196,5.633914
0.010000,5.604470,7.289029,1.393824,2.656703,-4.744547,13.015065,5.596909
0.010000,5.624355,7.272100,1.419939,2.611536,-4.516704,22.784230,5.558494
0.010000,5.643255,7.254689,1.445637,2.569724,-4.181259,33.544562,5.518772
0.010000,5.661174,7.236794,1.470961,2.532398,-3.732576,44.868242,5.477883
0.010000,5.678122,7.218406,1.495967,2.500688,-3.170972,56.160450,5.436004
0.010000,5.694115,7.199509,1.520724,2.475649,-2.503938,66.703397,5.393343
0.010000,5.709175,7.180081,1.545306,2.458181,-1.746764,75.717380,5.350136
0.010000,5.723325,7.160093,1.569795,2.448960,-0.922173,82.459131,5.306641
0.010000,5.736588,7.139513,1.594279,2.448370,-0.058913,86.325966,5.263127
0.010000,5.748986,7.118307,1.618844,2.456477,0.810644,86.955739,5.219867
0.010000,5.760538,7.096440,1.643574,2.473012,1.653486,84.284179,5.177123
0.010000,5.771257,7.073884,1.668548,2.497403,2.439083,78.559732,5.135141
0.010000,5.781154,7.050613,1.693836,2.528823,3.142078,70.299496,5.094141
0.010000,5.790235,7.026610,1.719499,2.566265,3.744123,60.204501,5.054311
0.010000,5.798503,7.001869,1.745585,2.608611,4.234668,49.054453,5.015804
0.010000,5.805959,6.976391,1.772132,2.654718,4.610715,37.604712,4.978737
0.010000,5.812605,6.950185,1.799167,2.703476,4.875785,26.506981,4.943194
0.010000,5.818444,6.923273,1.826705,2.753860,5.038393,16.260872,4.909225
0.010000,5.823479,6.895679,1.854755,2.804964,5.110378,7.198424,4.876853
0.010000,5.827716,6.867435,1.883315,2.856017,5.105313,-0.506423,4.846076
0.010000,5.831163,6.838576,1.912379,2.906389,5.037210,-6.810382,4.816872
0.010000,5.833834,6.809141,1.941935,2.955585,4.919542,-11.766766,4.789206
0.010000,5.835742,6.779169,1.971967,3.003230,4.764588,-15.495356,4.763028
0.010000,5.836904,6.748701,2.002458,3.049061,4.583095,-18.149351,4.738283
0.010000,5.837339,6.717775,2.033387,3.092903,4.384137,-19.895800,4.714907
0.010000,5.837068,6.686430,2.064734,3.134654,4.175141,-20.899606,4.692836
0.010000,5.836113,6.654701,2.096476,3.174275,3.962034,-21.310668,4.672002
0.010000,5.834497,6.622624,2.128594,3.211768,3.749379,-21.265505,4.652340
0.010000,5.832245,6.590231,2.161066,3.247174,3.540609,-20.876988,4.633785
0.010000,5.829379,6.557551,2.193871,3.280557,3.338217,-20.239208,4.616272
0.010000,5.825925,6.524611,2.226991,3.311996,3.143922,-19.429506,4.599742
0.010000,5.821907,6.491438,2.260407,3.341584,2.958828,-18.509383,4.584136
0.010000,5.817349,6.458053,2.294101,3.369420,2.783593,-17.523517,4.569400
0.010000,5.812274,6.424479,2.328057,3.395605,2.618492,-16.510140,4.555483
0.010000,5.806705,6.390733,2.362260,3.420240,2.463550,-15.494158,4.542335
0.010000,5.800664,6.356832,2.396694,3.443426,2.318592,-14.495831,4.529911
0.010000,5.794174,6.322793,2.431347,3.465259,2.183312,-13.528031,4.518170
0.010000,5.787255,6.288628,2.466205,3.485833,2.057311,-12.600005,4.507072
0.010000,5.779927,6.254351,2.501257,3.505234,1.940134,-11.717699,4.496579
0.010000,5.772209,6.219971,2.536493,3.523547,1.831298,-10.883610,4.486659
0.010000,5.764121,6.185498,2.571901,3.540850,1.730300,-10.099839,4.477280
0.010000,5.755679,6.150942,2.607473,3.557216,1.636647,-9.365271,4.468412
0.010000,5.746902,6.116310,2.643201,3.572715,1.549856,-8.679163,4.460029
0.010000,5.737806,6.081608,2.679075,3.587409,1.469454,-8.040176,4.452104
0.010000,5.728406,6.046843,2.715088,3.601359,1.395001,-7.445315,4.444616
0.010000,5.718718,6.012020,2.751234,3.614620,1.326079,-6.892208,4.437542
0.010000,5.708756,5.977142,2.787507,3.627243,1.262286,-6.379219,4.430862
0.010000,5.698534,5.942214,2.823900,3.639276,1.203263,-5.902378,4.424558
0.010000,5.688065,5.907240,2.860407,3.650762,1.148668,-5.459499,4.418613
0.010000,5.677363,5.872221,2.897025,3.661744,1.098181,-5.048704,4.413012
0.010000,5.666439,5.837161,2.933747,3.672259,1.051513,-4.666720,4.407739
0.010000,5.655305,5.802061,2.970571,3.682343,1.008398,-4.311532,4.402781
0.010000,5.643973,5.766923,3.007491,3.692029,0.968591,-3.980695,4.398126
0.010000,5.632454,5.731747,3.044504,3.701348,0.931861,-3.673028,4.393762
0.010000,5.620758,5.696536,3.081608,3.710328,0.898011,-3.385041,4.389678
0.010000,5.608896,5.661288,3.118798,3.718996,0.866844,-3.116646,4.385866
0.010000,5.596877,5.626006,3.156071,3.727378,0.838194,-2.864958,4.382315
0.010000,5.584711,5.590687,3.193426,3.735497,0.811904,-2.629041,4.379018
0.010000,5.572407,5.555333,3.230860,3.743376,0.787834,-2.407053,4.375968
0.010000,5.559974,5.519944,3.268371,3.751034,0.765851,-2.198262,4.373156
0.010000,5.547420,5.484517,3.305955,3.758493,0.745844,-2.000693,4.370578
0.010000,5.534755,5.449053,3.343613,3.765770,0.727707,-1.813680,4.368227
0.010000,5.521987,5.413550,3.381342,3.772883,0.711346,-1.636072,4.366098
0.010000,5.509123,5.378008,3.419141,3.779850,0.696678,-1.466817,4.364187
0.010000,5.496172,5.342425,3.457007,3.786686,0.683628,-1.305020,4.362490
0.010000,5.483141,5.306799,3.494941,3.793408,0.672131,-1.149714,4.361003
0.010000,5.470038,5.271130,3.532942,3.800029,0.662129,-1.000182,4.359722
0.010000,5.456870,5.235414,3.571007,3.806565,0.653573,-0.855661,4.358646
0.010000,5.443645,5.199651,3.609138,3.813029,0.646421,-0.715172,4.357772
0.010000,5.430370,5.163837,3.647332,3.819435,0.640637,-0.578428,4.357098
0.010000,5.417052,5.127972,3.685590,3.825797,0.636193,-0.444316,4.356623
0.010000,5.403699,5.092053,3.723911,3.832128,0.633069,-0.312451,4.356346
0.010000,5.390317,5.056076,3.762296,3.838440,0.631248,-0.182069,4.356266
0.010000,5.376915,5.020041,3.800743,3.844748,0.630722,-0.052570,4.356383
0.010000,5.363497,4.983943,3.839254,3.851062,0.631489,0.076658,4.356698
0.010000,5.350073,4.947780,3.877828,3.857398,0.633552,0.206302,4.357210
0.010000,5.336649,4.911550,3.916465,3.863767,0.636921,0.336872,4.357922
0.010000,5.323232,4.875248,3.955167,3.870183,0.641612,0.469107,4.358834
0.010000,5.309829,4.838872,3.993934,3.876660,0.647649,0.603713,4.359948
0.010000,5.296448,4.802418,4.032766,3.883210,0.655059,0.741021,4.361267
0.010000,5.283096,4.765883,4.071664,3.889849,0.663882,0.882276,4.362794
0.010000,5.269781,4.729263,4.110630,3.896591,0.674158,1.027563,4.364531
0.010000,5.256510,4.692553,4.149665,3.903450,0.685940,1.178249,4.366482
0.010000,5.243290,4.655751,4.188769,3.910443,0.699285,1.334519,4.368652
0.010000,5.230131,4.618851,4.227945,3.917586,0.714263,1.497737,4.371046
0.010000,5.217040,4.581850,4.267194,3.924895,0.730947,1.668450,4.373668
0.010000,5.204026,4.544742,4.306518,3.932389,0.749424,1.847701,4.376523
0.010000,5.191097,4.507523,4.345919,3.940087,0.769792,2.036751,4.379620
0.010000,5.178262,4.470187,4.385399,3.948009,0.792150,2.235834,4.382964
0.010000,5.165530,4.432730,4.424961,3.956175,0.816625,2.447495,4.386563
0.010000,5.152912,4.395146,4.464607,3.964608,0.843341,2.671563,4.390426
0.010000,5.140416,4.357429,4.504340,3.973333,0.872446,2.910576,4.394562
0.010000,5.128054,4.319572,4.544164,3.982374,0.904095,3.164910,4.398980
0.010000,5.115836,4.281571,4.584081,3.991758,0.938467,3.437147,4.403691
0.010000,5.103773,4.243417,4.624097,4.001516,0.975749,3.728210,4.408707
0.010000,5.091878,4.205104,4.664213,4.011677,1.016152,4.040308,4.414041
0.010000,5.080163,4.166625,4.704436,4.022277,1.059905,4.375277,4.419706
0.010000,5.068641,4.127973,4.744770,4.033349,1.107256,4.735159,4.425717
0.010000,5.057326,4.089138,4.785219,4.044934,1.158481,5.122427,4.432090
0.010000,5.046233,4.050113,4.825790,4.057073,1.213872,5.539141,4.438843
0.010000,5.035377,4.010890,4.866488,4.069810,1.273745,5.987279,4.445994
0.010000,5.024776,3.971458,4.907320,4.083195,1.338454,6.470959,4.453562
0.010000,5.014446,3.931809,4.948293,4.097278,1.408367,6.991205,4.461571
0.010000,5.004407,3.891932,4.989414,4.112117,1.483881,7.551465,4.470044
0.010000,4.994680,3.851817,5.030691,4.127771,1.565422,8.154096,4.479006
0.010000,4.985285,3.811452,5.072134,4.144306,1.653438,8.801614,4.488485
0.010000,4.976246,3.770828,5.113752,4.161790,1.748401,9.496285,4.498510
0.010000,4.967588,3.729931,5.155555,4.180298,1.850794,10.239329,4.509114
0.010000,4.959338,3.688751,5.197554,4.199909,1.961118,11.032355,4.520331
0.010000,4.951525,3.647273,5.239762,4.220708,2.079869,11.875087,4.532197
0.010000,4.944181,3.605485,5.282189,4.242783,2.207524,12.765501,4.544754
0.010000,4.937340,3.563375,5.324852,4.266228,2.344531,13.700762,4.558043
0.010000,4.931039,3.520929,5.367763,4.291141,2.491271,14.673937,4.572111
0.010000,4.925318,3.478133,5.410939,4.317621,2.648035,15.676421,4.587007
0.010000,4.920221,3.434976,5.454397,4.345771,2.814954,16.691890,4.602782
0.010000,4.915795,3.391443,5.498154,4.375690,2.991972,17.701793,4.619493
0.010000,4.912092,3.347524,5.542229,4.407478,3.178733,18.676146,4.637197
0.010000,4.909168,3.303208,5.586641,4.441223,3.374521,19.578813,4.655956
0.010000,4.907083,3.258487,5.631411,4.477004,3.578115,20.359308,4.675834
0.010000,4.905905,3.213354,5.676560,4.514881,3.787661,20.954674,4.696895
0.010000,4.905703,3.167805,5.722109,4.554886,4.000512,21.285090,4.719207
0.010000,4.906555,3.121843,5.768079,4.597016,4.213033,21.252035,4.742836
0.010000,4.908543,3.075473,5.814491,4.641220,4.420418,20.738512,4.767846
0.010000,4.911756,3.028710,5.861365,4.687385,4.616479,19.606184,4.794300
0.010000,4.916284,2.981573,5.908718,4.735320,4.793488,17.700857,4.822253
0.010000,4.922226,2.934096,5.956565,4.784741,4.942057,14.856846,4.851750
0.010000,4.929681,2.886322,6.004918,4.835252,5.051156,10.909918,4.882826
0.010000,4.938750,2.838308,6.053781,4.886335,5.108244,5.708819,4.915500
0.010000,4.949531,2.790126,6.103155,4.937332,5.099720,-0.852367,4.949768
0.010000,4.962121,2.741867,6.153029,4.987448,5.011573,-8.814683,4.985603
0.010000,4.976608,2.693638,6.203387,5.035752,4.830478,-18.109527,5.022948
0.010000,4.993066,2.645565,6.254199,5.081203,4.545108,-28.537036,5.061714
0.010000,5.011556,2.597792,6.305425,5.122681,4.147783,-39.732520,5.101777
0.010000,5.032117,2.550475,6.357016,5.159042,3.636111,-51.167196,5.142977
0.010000,5.054763,2.503786,6.408908,5.189187,3.014455,-62.165589,5.185120
0.010000,5.079482,2.457899,6.461029,5.212135,2.294837,-71.961805,5.227981
0.010000,5.106233,2.412992,6.513300,5.227105,1.496997,-79.783984,5.271309
0.010000,5.134944,2.369234,6.565636,5.233579,0.647403,-84.959389,5.314840
0.010000,5.165518,2.326785,6.617949,5.231352,-0.222755,-87.015757,5.358302
0.010000,5.197835,2.285785,6.670155,5.220548,-1.080400,-85.764527,5.401425
0.010000,5.231754,2.246349,6.722171,5.201611,-1.893645,-81.324495,5.443957
0.010000,5.267125,2.208570,6.773924,5.175263,-2.634773,-74.112769,5.485664
0.010000,5.303787,2.172510,6.825348,5.142439,-3.282404,-64.763135,5.526345
0.010000,5.341583,2.138205,6.876390,5.104212,-3.822723,-54.031933,5.565831
0.010000,5.380356,2.105667,6.927007,5.061715,-4.249676,-42.695261,5.603988
0.010000,5.419960,2.074884,6.977168,5.016074,-4.564155,-31.447890,5.640718
0.010000,5.460258,2.045824,7.026852,4.968347,-4.772727,-20.857197,5.675955
0.010000,5.501129,2.018443,7.076046,4.919488,-4.885908,-11.318151,5.709665
0.010000,5.542462,1.992682,7.124750,4.870322,-4.916594,-3.068563,5.741838
0.010000,5.584161,1.968478,7.172965,4.821535,-4.878617,3.797654,5.772486
0.010000,5.626145,1.945758,7.220702,4.773679,-4.785648,9.296953,5.801637
0.010000,5.668342,1.924450,7.267974,4.727175,-4.650366,13.528204,5.829335
0.010000,5.710694,1.904481,7.314797,4.682334,-4.484112,16.625338,5.855631
0.010000,5.753149,1.885776,7.361191,4.639369,-4.296567,18.754487,5.880584
0.010000,5.795669,1.868264,7.407175,4.598411,-4.095775,20.079246,5.904256
0.010000,5.838217,1.851878,7.452770,4.559529,-3.888213,20.756195,5.926713
0.010000,5.880769,1.836550,7.497997,4.522739,-3.678960,20.925328,5.948020
0.010000,5.923300,1.822221,7.542878,4.488020,-3.471882,20.707778,5.968242
0.010000,5.965793,1.808830,7.587431,4.455322,-3.269850,20.203246,5.987442
0.010000,6.008234,1.796324,7.631676,4.424573,-3.074842,19.500778,6.005680
0.010000,6.050613,1.784651,7.675633,4.395691,-2.888248,18.659335,6.023016
0.010000,6.092921,1.773764,7.719319,4.368582,-2.710883,17.736581,6.039504
0.010000,6.135151,1.763619,7.762751,4.343150,-2.543203,16.767946,6.055198
0.010000,6.177298,1.754173,7.805944,4.319297,-2.385326,15.787714,6.070146
0.010000,6.219360,1.745390,7.848913,4.296925,-2.237166,14.815957,6.084395
0.010000,6.261334,1.737233,7.891672,4.275940,-2.098506,13.866073,6.097988
0.010000,6.303219,1.729669,7.934235,4.256250,-1.968954,12.955164,6.110965
0.010000,6.345014,1.722667,7.976613,4.237769,-1.848127,12.082711,6.123365
0.010000,6.386720,1.716200,8.018817,4.220414,-1.735540,11.258660,6.135223
0.010000,6.428337,1.710239,8.060858,4.204106,-1.630730,10.481003,6.146570
0.010000,6.469865,1.704762,8.102745,4.188775,-1.533176,9.755459,6.157439
0.010000,6.511305,1.699744,8.144489,4.174350,-1.442431,9.074472,6.167857
0.010000,6.552660,1.695164,8.186097,4.160770,-1.358008,8.442345,6.177850
0.010000,6.593931,1.691002,8.227576,4.147976,-1.279462,7.854542,6.187444
0.010000,6.635118,1.687239,8.268936,4.135912,-1.206364,7.309809,6.196660
0.010000,6.676225,1.683858,8.310181,4.124529,-1.138346,6.801813,6.205521
0.010000,6.717252,1.680842,8.351319,4.113779,-1.074966,6.337996,6.214046
0.010000,6.758201,1.678176,8.392355,4.103620,-1.015933,5.903307,6.222253
0.010000,6.799075,1.675845,8.433295,4.094011,-0.960893,5.503995,6.230160
0.010000,6.839875,1.673837,8.474144,4.084915,-0.909555,5.133829,6.237782
0.010000,6.880602,1.672137,8.514907,4.076299,-0.861631,4.792411,6.245136
0.010000,6.921259,1.670735,8.555588,4.068130,-0.816879,4.475152,6.252234
0.010000,6.961848,1.669618,8.596192,4.060380,-0.775030,4.184890,6.259090
0.010000,7.002369,1.668776,8.636722,4.053021,-0.735906,3.912451,6.265716
0.010000,7.041854,1.668211,8.676211,3.948881,-10.414008,-967.810271,6.271971
0.010000,7.075262,1.667922,8.709620,3.340914,-60.796624,-5038.261530,6.277117
0.010000,7.098545,1.667822,8.732903,2.328294,-101.262057,-4046.543383,6.280625
0.010000,7.111729,1.667801,8.746088,1.318474,-100.981949,28.010841,6.282584
0.010000,7.115800,1.667800,8.750159,0.407056,-91.141811,984.013796,6.283185
0.010000,7.115800,1.667800,8.750159,0.000000,-40.705619,5043.619174,6.283185
