dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.272012,0.866003,0.004801,0.960250,96.025000,9602.500000,0.001026
0.010000,4.287434,0.866043,0.020224,1.542269,58.201932,-3782.306773,0.004210
0.010000,4.313171,0.866221,0.045961,2.573742,103.147268,4494.533574,0.009620
0.010000,4.349272,0.866708,0.082065,3.610404,103.666172,51.890359,0.017418
0.010000,4.390631,0.867619,0.123435,4.136915,52.651092,-5101.507971,0.026666
0.010000,4.432101,0.868923,0.164925,4.149026,1.211173,-5143.991904,0.036292
0.010000,4.473684,0.870640,0.206543,4.161868,1.284184,7.301156,0.046320
0.010000,4.515384,0.872790,0.248298,4.175494,1.362594,7.840944,0.056773
0.010000,4.557202,0.875394,0.290198,4.189962,1.446789,8.419551,0.067679
0.010000,4.599143,0.878476,0.332251,4.205334,1.537208,9.041853,0.079065
0.010000,4.641207,0.882059,0.374468,4.221677,1.634269,9.706094,0.090962
0.010000,4.683398,0.886170,0.416859,4.239061,1.738441,10.417237,0.103402
0.010000,4.725717,0.890838,0.459434,4.257563,1.850172,11.173047,0.116421
0.010000,4.768165,0.896094,0.502207,4.277262,1.969899,11.972732,0.130055
0.010000,4.810744,0.901971,0.545189,4.298242,2.098022,12.812302,0.144345
0.010000,4.853453,0.908504,0.588395,4.320591,2.234894,13.687210,0.159333
0.010000,4.896292,0.915731,0.631839,4.344399,2.380804,14.590961,0.175066
0.010000,4.939258,0.923695,0.675537,4.369758,2.535889,15.508529,0.191591
0.010000,4.982347,0.932439,0.719505,4.396759,2.700130,16.424053,0.208961
0.010000,5.025554,0.942011,0.763759,4.425492,2.873263,17.313344,0.227228
0.010000,5.068871,0.952464,0.808320,4.456039,3.054728,18.146478,0.246450
0.010000,5.112288,0.963850,0.853205,4.488474,3.243510,18.878202,0.266686
0.010000,5.155789,0.976231,0.898433,4.522855,3.438090,19.457998,0.287997
0.010000,5.199356,0.989667,0.944025,4.559218,3.636271,19.818152,0.310444
0.010000,5.242966,1.004224,0.990001,4.597568,3.835009,19.873755,0.334090
0.010000,5.286589,1.019973,1.036380,4.637871,4.030289,19.527988,0.358996
0.010000,5.330188,1.036984,1.083180,4.680039,4.216846,18.655749,0.385220
0.010000,5.373718,1.055333,1.130419,4.723921,4.388151,17.130485,0.412816
0.010000,5.417125,1.075095,1.178112,4.769282,4.536150,14.799929,0.441830
0.010000,5.460341,1.096343,1.226270,4.815795,4.651309,11.515829,0.472298
0.010000,5.503291,1.119152,1.274900,4.863022,4.722625,7.131662,0.504243
0.010000,5.545883,1.143587,1.324004,4.910401,4.737967,1.534209,0.537669
0.010000,5.588015,1.169710,1.373577,4.957246,4.684498,-5.346924,0.572559
0.010000,5.629567,1.197569,1.423604,5.002742,4.549539,-13.495914,0.608872
0.010000,5.670410,1.227200,1.474064,5.045958,4.321594,-22.794459,0.646537
0.010000,5.710403,1.258620,1.524923,5.085875,3.991757,-32.983698,0.685449
0.010000,5.749395,1.291824,1.576137,5.121427,3.555176,-43.658133,0.725473
0.010000,5.787232,1.326784,1.627652,5.151552,3.012502,-54.267444,0.766439
0.010000,5.823759,1.363446,1.679405,5.175262,2.371008,-64.149349,0.808147
0.010000,5.858826,1.401731,1.731322,5.191713,1.645105,-72.590321,0.850368
0.010000,5.892295,1.441532,1.783325,5.200273,0.855974,-78.913123,0.892858
0.010000,5.924044,1.482722,1.835331,5.200576,0.030303,-82.567095,0.935357
