dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.273825,0.866019,0.004801,0.960250,96.025000,9602.500000,0.005773
0.010000,4.293894,0.866312,0.024873,2.007174,104.692398,866.739771,0.023486
0.010000,4.327648,0.867619,0.058652,3.377922,137.074791,3238.239285,0.054031
0.010000,4.375471,0.871276,0.106615,4.796268,141.834611,475.982073,0.098900
0.010000,4.430754,0.878267,0.162338,5.572341,77.607343,-6422.726783,0.153025
0.010000,4.486413,0.888470,0.218924,5.658592,8.625075,-6898.226868,0.209849
0.010000,4.542061,0.902043,0.276203,5.727921,6.932881,-169.219366,0.268841
0.010000,4.597246,0.919054,0.333951,5.774742,4.682131,-225.075043,0.329298
0.010000,4.651480,0.939457,0.391896,5.794510,1.976801,-270.533000,0.390373
0.010000,4.704279,0.963086,0.449741,5.784546,-0.996425,-297.322609,0.451137
0.010000,4.755207,0.989664,0.507187,5.744577,-3.996905,-300.047977,0.510650
0.010000,4.803912,1.018826,0.563955,5.676796,-6.778149,-278.124334,0.568043
0.010000,4.850152,1.050155,0.619809,5.585412,-9.138317,-236.016878,0.622578
0.010000,4.893800,1.083222,0.674568,5.475865,-10.954764,-181.644626,0.673686
0.010000,4.934832,1.117613,0.728107,5.353935,-12.192945,-123.818096,0.720981
0.010000,4.973317,1.152955,0.780357,5.225012,-12.892355,-69.941049,0.764244
0.010000,5.009381,1.188925,0.831293,5.093610,-13.140123,-24.776756,0.803398
0.010000,5.043198,1.225254,0.880925,4.963174,-13.043647,9.647554,0.838474
0.010000,5.074959,1.261723,0.929286,4.836079,-12.709521,33.412611,0.869576
0.010000,5.104867,1.298157,0.976424,4.713769,-12.230964,47.855644,0.896855
0.010000,5.133119,1.334420,1.022393,4.596943,-11.682652,54.831211,0.920481
0.010000,5.159908,1.370400,1.067251,4.485738,-11.120504,56.214875,0.940632
0.010000,5.185410,1.406008,1.111049,4.379896,-10.584114,53.639003,0.957474
0.010000,5.209791,1.441172,1.153838,4.278895,-10.100144,48.396992,0.971159
0.010000,5.233200,1.475827,1.195659,4.182038,-9.685691,41.445313,0.981817
0.010000,5.255773,1.509916,1.236544,4.088526,-9.351172,33.451823,0.989553
0.010000,5.277632,1.543385,1.276519,3.997501,-9.102586,24.858619,0.994444
0.010000,5.298888,1.576180,1.315600,3.908069,-8.943155,15.943089,0.996540
0.010000,5.319639,1.608244,1.353793,3.819325,-8.874442,6.871332,0.995862
0.010000,5.339970,1.639520,1.391097,3.730354,-8.897010,-2.256778,0.992405
0.010000,5.359959,1.669944,1.427499,3.640248,-9.010697,-11.368747,0.986131
0.010000,5.379669,1.699447,1.462980,3.548102,-9.214530,-20.383320,0.976979
0.010000,5.399155,1.727954,1.497510,3.453040,-9.506265,-29.173440,0.964855
0.010000,5.418459,1.755384,1.531053,3.354224,-9.881512,-37.524763,0.949645
0.010000,5.437613,1.781651,1.563562,3.250901,-10.332377,-45.086474,0.931206
0.010000,5.456634,1.806665,1.594986,3.142446,-10.845515,-51.313807,0.909378
0.010000,5.475529,1.830332,1.625271,3.028450,-11.399562,-55.404720,0.883988
0.010000,5.494289,1.852562,1.654359,2.908830,-11.961971,-56.240860,0.854861
0.010000,5.512896,1.873271,1.682199,2.783975,-12.485538,-52.356746,0.821833
0.010000,5.531320,1.892386,1.708748,2.654922,-12.905311,-41.977284,0.784773
0.010000,5.549530,1.909857,1.733983,2.523550,-13.137177,-23.186568,0.743608
0.010000,5.567495,1.925662,1.757911,2.392748,-13.080173,5.700353,0.698356
0.010000,5.585199,1.939813,1.780576,2.266498,-12.625012,45.516124,0.649160
0.010000,5.602655,1.952361,1.802074,2.149790,-11.670843,95.416889,0.596318
0.010000,5.619914,1.963393,1.822557,2.048289,-10.150023,152.082067,0.540304
0.010000,5.637073,1.973023,1.842234,1.967726,-8.056302,209.372056,0.481773
0.010000,5.654284,1.981376,1.861365,1.913058,-5.466813,258.948907,0.421534
0.010000,5.671735,1.988571,1.880241,1.887599,-2.545936,292.087693,0.360499
0.010000,5.689638,1.994702,1.899164,1.892365,0.476584,302.252029,0.299614
0.010000,5.708201,1.999829,1.918423,1.925865,3.350014,287.342987,0.239775
0.010000,5.727608,2.003974,1.938267,1.984411,5.854567,250.455308,0.181765
0.010000,5.747993,2.007129,1.958895,2.062828,7.841758,198.719037,0.126205
0.010000,5.768097,2.009167,1.979102,2.020660,-4.216765,-1205.852259,0.076669
0.010000,5.784908,2.010136,1.995940,1.683865,-33.679496,-2946.273143,0.038953
0.010000,5.796477,2.010445,2.007514,1.157363,-52.650236,-1897.073976,0.014789
0.010000,5.802395,2.010498,2.013432,0.591750,-56.561276,-391.103926,0.002956
0.010000,5.803900,2.010500,2.014937,0.150547,-44.120295,1244.098035,0.000000
0.010000,5.803900,2.010500,2.014937,0.000000,-15.054742,2906.555289,0.000000
