dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.810289,5.563416,0.004801,0.960250,96.025000,9602.500000,0.005005
0.010000,5.829479,5.563656,0.023993,1.919176,95.892558,-13.244191,0.019968
0.010000,5.861334,5.564685,0.055865,3.187152,126.797658,3090.509978,0.044549
0.010000,5.905586,5.567404,0.100200,4.433544,124.639167,-215.849069,0.078077
0.010000,5.955538,5.572245,0.150386,5.018641,58.509732,-6612.943553,0.114887
0.010000,6.004693,5.578795,0.199976,4.958971,-5.967049,-6447.678077,0.149831
0.010000,6.052939,5.586898,0.248898,4.892147,-6.682405,-71.535563,0.182686
0.010000,6.100193,5.596386,0.297095,4.819718,-7.242822,-56.041730,0.213277
0.010000,6.146402,5.607085,0.344526,4.743163,-7.655580,-41.275840,0.241475
0.010000,6.191538,5.618827,0.391164,4.663803,-7.935962,-28.038113,0.267191
0.010000,6.235594,5.631446,0.436992,4.582761,-8.104187,-16.822498,0.290375
0.010000,6.278582,5.644785,0.482001,4.500935,-8.182638,-7.845114,0.311000
0.010000,6.320525,5.658695,0.526191,4.418998,-8.193662,-1.102436,0.329064
0.010000,6.361460,5.673037,0.569566,4.337418,-8.158048,3.561417,0.344579
0.010000,6.401425,5.687683,0.612130,4.256476,-8.094121,6.392698,0.357563
0.010000,6.440467,5.702512,0.653893,4.176303,-8.017332,7.678921,0.368042
0.010000,6.478630,5.717412,0.694862,4.096901,-7.940185,7.714667,0.376039
0.010000,6.515961,5.732279,0.735044,4.018178,-7.872372,6.781319,0.381576
0.010000,6.552501,5.747015,0.774444,3.939968,-7.820994,5.137781,0.384669
0.010000,6.588291,5.761526,0.813064,3.862060,-7.790800,3.019377,0.385327
0.010000,6.623369,5.775726,0.850907,3.784216,-7.784379,0.642099,0.383553
0.010000,6.657764,5.789530,0.887968,3.706193,-7.802278,-1.789830,0.379340
0.010000,6.691504,5.802859,0.924246,3.627763,-7.843025,-4.074758,0.372677
0.010000,6.724611,5.815636,0.959733,3.548732,-7.903066,-6.004066,0.363544
0.010000,6.757102,5.827790,0.994423,3.468966,-7.976601,-7.353545,0.351918
0.010000,6.788989,5.839253,1.028307,3.388412,-8.055372,-7.877100,0.337776
0.010000,6.820279,5.849959,1.061378,3.307128,-8.128419,-7.304658,0.321093
0.010000,6.850977,5.859851,1.093632,3.225309,-8.181885,-5.346653,0.301855
0.010000,6.881087,5.868876,1.125065,3.143320,-8.198965,-1.707944,0.280054
0.010000,6.910610,5.876988,1.155682,3.061719,-8.160107,3.885759,0.255704
0.010000,6.939551,5.884148,1.185495,2.981282,-8.043639,11.646831,0.228841
0.010000,6.967916,5.890326,1.214525,2.903013,-7.826938,21.670081,0.199532
0.010000,6.995720,5.895500,1.242806,2.828130,-7.488269,33.866877,0.167883
0.010000,7.022985,5.899654,1.270387,2.758037,-7.009273,47.899675,0.134045
0.010000,7.049746,5.902782,1.297329,2.694258,-6.377928,63.134485,0.098214
0.010000,7.074548,5.904788,1.322212,2.488276,-20.598199,-1422.027104,0.062835
0.010000,7.094284,5.905739,1.341971,1.975884,-51.239201,-3064.100264,0.033335
0.010000,7.107411,5.906045,1.355102,1.313085,-66.279961,-1504.075942,0.013130
0.010000,7.114073,5.906098,1.361764,0.666206,-64.687847,159.211432,0.002716
0.010000,7.115800,5.906100,1.363491,0.172734,-49.347255,1534.059145,0.000000
0.010000,7.115800,5.906100,1.363491,0.000000,-17.273352,3207.390308,0.000000
