dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.806191,2.009992,0.004801,0.960250,96.025000,9602.500000,6.278196
0.010000,5.815820,2.009872,0.014431,0.962998,0.274796,-9575.020423,6.263278
0.010000,5.831976,2.009351,0.030595,1.616413,65.341503,6506.670706,6.238773
0.010000,5.854846,2.007948,0.053508,2.291303,67.488985,214.748204,6.205352
0.010000,5.881389,2.005382,0.080176,2.666756,37.545300,-2994.368461,6.168661
0.010000,5.908415,2.001789,0.107439,2.726319,5.956327,-3158.897283,6.133832
0.010000,5.935961,1.997175,0.135369,2.792970,6.665122,70.879421,6.101085
0.010000,5.964055,1.991550,0.164021,2.865173,7.220267,55.514524,6.070594
0.010000,5.992715,1.984932,0.193435,2.941464,7.629083,40.881661,6.042486
0.010000,6.021953,1.977349,0.223641,3.020531,7.906762,27.767876,6.016849
0.010000,6.051774,1.968833,0.254653,3.101265,8.073346,16.658327,5.993735
0.010000,6.082180,1.959428,0.286481,3.182775,8.150992,7.764669,5.973167
0.010000,6.113174,1.949182,0.319125,3.264393,8.161817,1.082437,5.955149
0.010000,6.144760,1.938150,0.352581,3.345657,8.126389,-3.542767,5.939671
0.010000,6.176943,1.926394,0.386844,3.426285,8.062846,-6.354330,5.926712
0.010000,6.209733,1.913979,0.421906,3.506150,7.986483,-7.636301,5.916248
0.010000,6.243144,1.900976,0.457758,3.585247,7.909685,-7.679803,5.908256
0.010000,6.277196,1.887458,0.494395,3.663668,7.842055,-6.762987,5.902715
0.010000,6.311911,1.873502,0.531811,3.741574,7.790636,-5.141917,5.899608
0.010000,6.347320,1.859190,0.570002,3.819175,7.760142,-3.049394,5.898926
0.010000,6.383455,1.844606,0.608969,3.896707,7.753150,-0.699127,5.900666
0.010000,6.420355,1.829841,0.648714,3.974409,7.770219,1.706887,5.904836
0.010000,6.458060,1.814989,0.689239,4.052508,7.809912,3.969330,5.911445
0.010000,6.496615,1.800150,0.730551,4.131195,7.868734,5.882201,5.920515
0.010000,6.536065,1.785432,0.772657,4.210605,7.940978,7.224343,5.932065
0.010000,6.576455,1.770950,0.815565,4.290790,8.018510,7.753244,5.946122
0.010000,6.617828,1.756827,0.859282,4.371696,8.090540,7.202931,5.962708
0.010000,6.660222,1.743196,0.903813,4.453130,8.143422,5.288271,5.981839
0.010000,6.703667,1.730199,0.949160,4.534736,8.160607,1.718500,6.003521
0.010000,6.748182,1.717988,0.995320,4.615964,8.122836,-3.777109,6.027743
0.010000,6.793771,1.706723,1.042280,4.696052,8.008744,-11.409247,6.054467
0.010000,6.840419,1.696570,1.090020,4.774012,7.796001,-21.274294,6.083629
0.010000,6.888088,1.687701,1.138507,4.848643,7.463102,-33.289901,6.115124
0.010000,6.936711,1.680285,1.187693,4.918561,6.991795,-47.130698,6.148805
0.010000,6.986195,1.674485,1.237515,4.982261,6.369985,-62.180946,6.184478
0.010000,7.033654,1.670627,1.285131,4.761546,-22.071505,-2844.149050,6.219814
0.010000,7.072488,1.668737,1.324011,3.888067,-87.347889,-6527.638372,6.249415
0.010000,7.098801,1.668116,1.350331,2.631978,-125.608865,-3826.097598,6.269769
0.010000,7.112397,1.668005,1.363927,1.359628,-127.234962,-162.609727,6.280368
0.010000,7.116000,1.668000,1.367531,0.360340,-99.928803,2730.615916,6.283185
0.010000,7.116000,1.668000,1.367531,0.000000,-36.034047,6389.475637,6.283185
