position,velocity,dt
0.000005,0.000992,10
0.000025,0.001984,10
0.000069,0.004464,10
0.000149,0.007936,10
0.000273,0.0124,10
0.000451,0.017856,10
0.000689,0.023808,10
0.000987,0.02976,10
0.001344,0.035712,10
0.001761,0.041664,10
0.002237,0.047616,10
0.002773,0.053567,10
0.003368,0.059519,10
0.004023,0.065471,10
0.004737,0.071423,10
0.005511,0.077375,10
0.006344,0.083327,10
0.007237,0.089279,10
0.008189,0.095231,10
0.009201,0.101183,10
0.010272,0.107135,10
0.011403,0.113087,10
0.012593,0.119039,10
0.013843,0.124991,10
0.015153,0.130943,10
0.016522,0.136895,10
0.01795,0.142847,10
0.019438,0.148799,10
0.020986,0.15475,10
0.022593,0.160702,10
0.024259,0.166654,10
0.025985,0.172606,10
0.027771,0.178558,10
0.029616,0.18451,10
0.03152,0.190462,10
0.033485,0.196414,10
0.035508,0.202366,10
0.037591,0.208318,10
0.039734,0.21427,10
0.041936,0.220222,10
0.044198,0.226174,10
0.046519,0.232126,10
0.0489,0.238078,10
0.05134,0.24403,10
0.05384,0.249982,10
0.0564,0.255933,10
0.059018,0.261885,10
0.061697,0.267837,10
0.064435,0.273789,10
0.067232,0.279741,10
0.070089,0.285693,10
0.073006,0.291645,10
0.075981,0.297597,10
0.079017,0.303549,10
0.082112,0.309501,10
0.085267,0.315453,10
0.088481,0.321405,10
0.091754,0.327357,10
0.095087,0.333309,10
0.09848,0.339261,10
0.101932,0.345213,10
0.105444,0.351165,10
0.10901,0.35662,10
0.112621,0.361084,10
0.116266,0.364556,10
0.119937,0.367036,10
0.123622,0.368524,10
0.127311,0.368895,10
0.130992,0.368149,10
0.134656,0.36641,10
0.138293,0.36368,10
0.141893,0.359958,10
0.145445,0.355243,10
0.148942,0.349662,10
0.152379,0.34371,10
0.155756,0.337758,10
0.159075,0.331807,10
0.162333,0.325855,10
0.165532,0.319903,10
0.168672,0.313951,10
0.171752,0.307999,10
0.174772,0.302047,10
0.177733,0.296095,10
0.180634,0.290143,10
0.183476,0.284191,10
0.186259,0.278239,10
0.188982,0.272287,10
0.191645,0.266335,10
0.194249,0.260383,10
0.196793,0.254431,10
0.199278,0.248479,10
0.201703,0.242527,10
0.204069,0.236575,10
0.206375,0.230624,10
0.208622,0.224672,10
0.210809,0.21872,10
0.212937,0.212768,10
0.215005,0.206816,10
0.217014,0.200864,10
0.218963,0.194912,10
0.220852,0.18896,10
0.222682,0.183008,10
0.224453,0.177056,10
0.226164,0.171104,10
0.227816,0.165152,10
0.229408,0.1592,10
0.23094,0.153248,10
0.232413,0.147296,10
0.233826,0.141344,10
0.23518,0.135392,10
0.236475,0.129441,10
0.23771,0.123489,10
0.238885,0.117537,10
0.240001,0.111585,10
0.241057,0.105633,10
0.242054,0.099681,10
0.242991,0.093729,10
0.243869,0.087777,10
0.244687,0.081825,10
0.245446,0.075873,10
0.246145,0.069921,10
0.246785,0.063969,10
0.247365,0.058017,10
0.247886,0.052065,10
0.248347,0.046113,10
0.248748,0.040161,10
0.249091,0.034209,10
0.249373,0.028258,10
0.249596,0.022306,10
0.249761,0.016479,10
0.249874,0.011273,10
0.249944,0.00706,10
0.249983,0.003838,10
0.249999,0.001608,10
0.250003,0.000371,10
0.250003,0,10
